"TIME","GEO","INDIC_SB","NACE_R2","Value"
"2008","BG341","V11910","M_N",":"
"2008","BG341","V11910","P_Q",":"
"2008","BG341","V11910","R_S",":"
"2008","BG341","V16911","B-S_X_K642",":"
"2008","BG341","V16911","B-E",":"
"2008","BG341","V16911","F",":"
"2008","BG341","V16911","G",":"
"2008","BG341","V16911","H",":"
"2008","BG341","V16911","I",":"
"2008","BG341","V16911","J",":"
"2008","BG341","V16911","K_L_X_K642",":"
"2008","BG341","V16911","M_N",":"
"2008","BG341","V16911","P_Q",":"
"2008","BG341","V16911","R_S",":"
"2008","BG342","V11910","B-S_X_K642",":"
"2008","BG342","V11910","B-E",":"
"2008","BG342","V11910","F",":"
"2008","BG342","V11910","G",":"
"2008","BG342","V11910","H",":"
"2008","BG342","V11910","I",":"
"2008","BG342","V11910","J",":"
"2008","BG342","V11910","K_L_X_K642",":"
"2008","BG342","V11910","M_N",":"
"2008","BG342","V11910","P_Q",":"
"2008","BG342","V11910","R_S",":"
"2008","BG342","V16911","B-S_X_K642",":"
"2008","BG342","V16911","B-E",":"
"2008","BG342","V16911","F",":"
"2008","BG342","V16911","G",":"
"2008","BG342","V16911","H",":"
"2008","BG342","V16911","I",":"
"2008","BG342","V16911","J",":"
"2008","BG342","V16911","K_L_X_K642",":"
"2008","BG342","V16911","M_N",":"
"2008","BG342","V16911","P_Q",":"
"2008","BG342","V16911","R_S",":"
"2008","BG343","V11910","B-S_X_K642",":"
"2008","BG343","V11910","B-E",":"
"2008","BG343","V11910","F",":"
"2008","BG343","V11910","G",":"
"2008","BG343","V11910","H",":"
"2008","BG343","V11910","I",":"
"2008","BG343","V11910","J",":"
"2008","BG343","V11910","K_L_X_K642",":"
"2008","BG343","V11910","M_N",":"
"2008","BG343","V11910","P_Q",":"
"2008","BG343","V11910","R_S",":"
"2008","BG343","V16911","B-S_X_K642",":"
"2008","BG343","V16911","B-E",":"
"2008","BG343","V16911","F",":"
"2008","BG343","V16911","G",":"
"2008","BG343","V16911","H",":"
"2008","BG343","V16911","I",":"
"2008","BG343","V16911","J",":"
"2008","BG343","V16911","K_L_X_K642",":"
"2008","BG343","V16911","M_N",":"
"2008","BG343","V16911","P_Q",":"
"2008","BG343","V16911","R_S",":"
"2008","BG344","V11910","B-S_X_K642",":"
"2008","BG344","V11910","B-E",":"
"2008","BG344","V11910","F",":"
"2008","BG344","V11910","G",":"
"2008","BG344","V11910","H",":"
"2008","BG344","V11910","I",":"
"2008","BG344","V11910","J",":"
"2008","BG344","V11910","K_L_X_K642",":"
"2008","BG344","V11910","M_N",":"
"2008","BG344","V11910","P_Q",":"
"2008","BG344","V11910","R_S",":"
"2008","BG344","V16911","B-S_X_K642",":"
"2008","BG344","V16911","B-E",":"
"2008","BG344","V16911","F",":"
"2008","BG344","V16911","G",":"
"2008","BG344","V16911","H",":"
"2008","BG344","V16911","I",":"
"2008","BG344","V16911","J",":"
"2008","BG344","V16911","K_L_X_K642",":"
"2008","BG344","V16911","M_N",":"
"2008","BG344","V16911","P_Q",":"
"2008","BG344","V16911","R_S",":"
"2008","BG411","V11910","B-S_X_K642",":"
"2008","BG411","V11910","B-E",":"
"2008","BG411","V11910","F",":"
"2008","BG411","V11910","G",":"
"2008","BG411","V11910","H",":"
"2008","BG411","V11910","I",":"
"2008","BG411","V11910","J",":"
"2008","BG411","V11910","K_L_X_K642",":"
"2008","BG411","V11910","M_N",":"
"2008","BG411","V11910","P_Q",":"
"2008","BG411","V11910","R_S",":"
"2008","BG411","V16911","B-S_X_K642",":"
"2008","BG411","V16911","B-E",":"
"2008","BG411","V16911","F",":"
"2008","BG411","V16911","G",":"
"2008","BG411","V16911","H",":"
"2008","BG411","V16911","I",":"
"2008","BG411","V16911","J",":"
"2008","BG411","V16911","K_L_X_K642",":"
"2008","BG411","V16911","M_N",":"
"2008","BG411","V16911","P_Q",":"
"2008","BG411","V16911","R_S",":"
"2008","BG412","V11910","B-S_X_K642",":"
"2008","BG412","V11910","B-E",":"
"2008","BG412","V11910","F",":"
"2008","BG412","V11910","G",":"
"2008","BG412","V11910","H",":"
"2008","BG412","V11910","I",":"
"2008","BG412","V11910","J",":"
"2008","BG412","V11910","K_L_X_K642",":"
"2008","BG412","V11910","M_N",":"
"2008","BG412","V11910","P_Q",":"
"2008","BG412","V11910","R_S",":"
"2008","BG412","V16911","B-S_X_K642",":"
"2008","BG412","V16911","B-E",":"
"2008","BG412","V16911","F",":"
"2008","BG412","V16911","G",":"
"2008","BG412","V16911","H",":"
"2008","BG412","V16911","I",":"
"2008","BG412","V16911","J",":"
"2008","BG412","V16911","K_L_X_K642",":"
"2008","BG412","V16911","M_N",":"
"2008","BG412","V16911","P_Q",":"
"2008","BG412","V16911","R_S",":"
"2008","BG413","V11910","B-S_X_K642",":"
"2008","BG413","V11910","B-E",":"
"2008","BG413","V11910","F",":"
"2008","BG413","V11910","G",":"
"2008","BG413","V11910","H",":"
"2008","BG413","V11910","I",":"
"2008","BG413","V11910","J",":"
"2008","BG413","V11910","K_L_X_K642",":"
"2008","BG413","V11910","M_N",":"
"2008","BG413","V11910","P_Q",":"
"2008","BG413","V11910","R_S",":"
"2008","BG413","V16911","B-S_X_K642",":"
"2008","BG413","V16911","B-E",":"
"2008","BG413","V16911","F",":"
"2008","BG413","V16911","G",":"
"2008","BG413","V16911","H",":"
"2008","BG413","V16911","I",":"
"2008","BG413","V16911","J",":"
"2008","BG413","V16911","K_L_X_K642",":"
"2008","BG413","V16911","M_N",":"
"2008","BG413","V16911","P_Q",":"
"2008","BG413","V16911","R_S",":"
"2008","BG414","V11910","B-S_X_K642",":"
"2008","BG414","V11910","B-E",":"
"2008","BG414","V11910","F",":"
"2008","BG414","V11910","G",":"
"2008","BG414","V11910","H",":"
"2008","BG414","V11910","I",":"
"2008","BG414","V11910","J",":"
"2008","BG414","V11910","K_L_X_K642",":"
"2008","BG414","V11910","M_N",":"
"2008","BG414","V11910","P_Q",":"
"2008","BG414","V11910","R_S",":"
"2008","BG414","V16911","B-S_X_K642",":"
"2008","BG414","V16911","B-E",":"
"2008","BG414","V16911","F",":"
"2008","BG414","V16911","G",":"
"2008","BG414","V16911","H",":"
"2008","BG414","V16911","I",":"
"2008","BG414","V16911","J",":"
"2008","BG414","V16911","K_L_X_K642",":"
"2008","BG414","V16911","M_N",":"
"2008","BG414","V16911","P_Q",":"
"2008","BG414","V16911","R_S",":"
"2008","BG415","V11910","B-S_X_K642",":"
"2008","BG415","V11910","B-E",":"
"2008","BG415","V11910","F",":"
"2008","BG415","V11910","G",":"
"2008","BG415","V11910","H",":"
"2008","BG415","V11910","I",":"
"2008","BG415","V11910","J",":"
"2008","BG415","V11910","K_L_X_K642",":"
"2008","BG415","V11910","M_N",":"
"2008","BG415","V11910","P_Q",":"
"2008","BG415","V11910","R_S",":"
"2008","BG415","V16911","B-S_X_K642",":"
"2008","BG415","V16911","B-E",":"
"2008","BG415","V16911","F",":"
"2008","BG415","V16911","G",":"
"2008","BG415","V16911","H",":"
"2008","BG415","V16911","I",":"
"2008","BG415","V16911","J",":"
"2008","BG415","V16911","K_L_X_K642",":"
"2008","BG415","V16911","M_N",":"
"2008","BG415","V16911","P_Q",":"
"2008","BG415","V16911","R_S",":"
"2008","BG421","V11910","B-S_X_K642",":"
"2008","BG421","V11910","B-E",":"
"2008","BG421","V11910","F",":"
"2008","BG421","V11910","G",":"
"2008","BG421","V11910","H",":"
"2008","BG421","V11910","I",":"
"2008","BG421","V11910","J",":"
"2008","BG421","V11910","K_L_X_K642",":"
"2008","BG421","V11910","M_N",":"
"2008","BG421","V11910","P_Q",":"
"2008","BG421","V11910","R_S",":"
"2008","BG421","V16911","B-S_X_K642",":"
"2008","BG421","V16911","B-E",":"
"2008","BG421","V16911","F",":"
"2008","BG421","V16911","G",":"
"2008","BG421","V16911","H",":"
"2008","BG421","V16911","I",":"
"2008","BG421","V16911","J",":"
"2008","BG421","V16911","K_L_X_K642",":"
"2008","BG421","V16911","M_N",":"
"2008","BG421","V16911","P_Q",":"
"2008","BG421","V16911","R_S",":"
"2008","BG422","V11910","B-S_X_K642",":"
"2008","BG422","V11910","B-E",":"
"2008","BG422","V11910","F",":"
"2008","BG422","V11910","G",":"
"2008","BG422","V11910","H",":"
"2008","BG422","V11910","I",":"
"2008","BG422","V11910","J",":"
"2008","BG422","V11910","K_L_X_K642",":"
"2008","BG422","V11910","M_N",":"
"2008","BG422","V11910","P_Q",":"
"2008","BG422","V11910","R_S",":"
"2008","BG422","V16911","B-S_X_K642",":"
"2008","BG422","V16911","B-E",":"
"2008","BG422","V16911","F",":"
"2008","BG422","V16911","G",":"
"2008","BG422","V16911","H",":"
"2008","BG422","V16911","I",":"
"2008","BG422","V16911","J",":"
"2008","BG422","V16911","K_L_X_K642",":"
"2008","BG422","V16911","M_N",":"
"2008","BG422","V16911","P_Q",":"
"2008","BG422","V16911","R_S",":"
"2008","BG423","V11910","B-S_X_K642",":"
"2008","BG423","V11910","B-E",":"
"2008","BG423","V11910","F",":"
"2008","BG423","V11910","G",":"
"2008","BG423","V11910","H",":"
"2008","BG423","V11910","I",":"
"2008","BG423","V11910","J",":"
"2008","BG423","V11910","K_L_X_K642",":"
"2008","BG423","V11910","M_N",":"
"2008","BG423","V11910","P_Q",":"
"2008","BG423","V11910","R_S",":"
"2008","BG423","V16911","B-S_X_K642",":"
"2008","BG423","V16911","B-E",":"
"2008","BG423","V16911","F",":"
"2008","BG423","V16911","G",":"
"2008","BG423","V16911","H",":"
"2008","BG423","V16911","I",":"
"2008","BG423","V16911","J",":"
"2008","BG423","V16911","K_L_X_K642",":"
"2008","BG423","V16911","M_N",":"
