"sektor","naeti","osigbaza","srzapl","godina","quarter"
20,4797,13310101.57,924.826401,2017,1
21,1791,4348108.4,809.10093,2017,1
22,5142,11069609.32,717.594277,2017,1
23,2185,9735986.65,1485.276376,2017,1
24,4670,14367120.84,1025.417232,2017,1
25,2017,8510139.23,1406.169733,2017,1
26,14208,30965509.85,726.446531,2017,1
27,84230,142145918.95,562.530843,2017,1
28,7209,14272419.38,659.904724,2017,1
29,13298,21034776.21,527.266661,2017,1
30,15953,25369789.14,530.08335,2017,1
31,10047,24976290.29,828.648362,2017,1
32,17142,46243460.2,899.205868,2017,1
33,1754,11194766.86,2127.473747,2017,1
34,12782,38016211.27,991.347952,2017,1
35,8056,27236517.51,1126.966133,2017,1
36,29537,65925170.39,743.984047,2017,1
37,22257,62596932.76,937.472784,2017,1
38,6887,27584690.65,1335.044557,2017,1
39,4645,12750241.76,914.979674,2017,1
40,49156,122089780.31,827.895709,2017,1
41,9361,29469298.51,1049.289603,2017,1
42,21048,64242521.77,1017.397088,2017,1
43,42399,127855318.92,1005.15978,2017,1
44,545,1522424.75,931.146636,2017,1
45,29965,80369613.88,894.028809,2017,1
46,22408,41001631.2,609.92549,2017,1
47,25814,75751695,978.148016,2017,1
48,2399,5179514.01,719.676811,2017,1
49,25010,138701472.43,1848.564244,2017,1
50,1999,11650577.48,1942.086594,2017,1
51,4299,16775902.77,1300.760081,2017,1
52,17075,45829709.06,894.674652,2017,1
53,15805,31358325.25,661.344804,2017,1
54,1277,6403963.56,1670.744471,2017,1
55,112311,218822319.55,649.451582,2017,1
56,14114,35465648.83,837.579973,2017,1
57,4627,9030551.46,650.569228,2017,1
58,338474,749518190.81,738.13395,2017,1
59,24202,75023720.89,1033.299188,2017,1
60,124379,187899830.09,503.56524,2017,1
61,24339,72041769.63,986.64379,2017,1
62,92658,162795438.19,585.64566,2017,1
63,1287,3968613.15,1027.339671,2017,1
64,2241,11663634.45,1734.627372,2017,1
65,18022,72317642.41,1337.531301,2017,1
66,19402,40971555.97,703.881871,2017,1
67,22796,92377858.26,1350.770712,2017,1
68,57223,223346572.83,1301.015155,2017,1
69,195866,704513813.79,1198.968369,2017,1
70,56165,85041054.65,504.706667,2017,1
71,4382,20321387.39,1545.705285,2017,1
72,9221,18009835.17,651.020646,2017,1
73,23193,55527609.06,798.028327,2017,1
74,25637,53493443.49,695.523962,2017,1
75,38632,117911064.39,1017.386832,2017,1
76,8067,13681731.79,565.337456,2017,1
77,28213,55113635.09,651.153533,2017,1
78,22697,29987354.97,440.394686,2017,1
79,15300,39965971.88,870.718341,2017,1
80,608,2395252.44,1313.186644,2017,1
81,5133,9743142.06,632.712647,2017,1
82,8401,15574334.4,617.955576,2017,1
83,2546,14734852.21,1928.645577,2017,1
84,25184,76298739.71,1009.857052,2017,1
85,1527,2844336.62,620.898629,2017,1
99,301099,705198289.7,780.692849,2017,1
0,160,585681.12,1217.632266,2018,1
1,59283,130807127.49,735.495434,2018,1
2,15028,34198191.73,758.510218,2018,1
3,573,1003951.81,584.032466,2018,1
4,9372,49413577.61,1757.4896,2018,1
5,525,1494607.59,948.355069,2018,1
6,6868,35124744.55,1704.753666,2018,1
7,114,349771.65,1022.724122,2018,1
8,298,664668.71,742.646603,2018,1
9,126,346268.79,913.637968,2018,1
10,2245,6355677.99,943.39884,2018,1
11,166,263589.6,527.1792,2018,1
12,919,2468223.46,895.256967,2018,1
13,13283,28711860.7,720.480306,2018,1
14,4976,11875741.38,795.48137,2018,1
15,6547,14495381.99,737.941352,2018,1
16,3530,9306610.79,878.811217,2018,1
17,8037,17343452.65,719.287186,2018,1
18,2852,8393576.62,980.90179,2018,1
19,36477,70089478.72,640.49016,2018,1
20,4660,13466930.97,963.230882,2018,1
21,2018,5472362.53,903.77581,2018,1
22,4900,11383050.11,774.251809,2018,1
23,2132,10277953.31,1606.683337,2018,1
24,4826,16335526.82,1128.144117,2018,1
25,1556,5993278.35,1283.632116,2018,1
26,14160,33894677.37,797.859737,2018,1
27,79265,146931110.71,617.887225,2018,1
28,6918,14818255.41,713.995153,2018,1
29,12379,22352818.99,601.885373,2018,1
30,15882,27560569.31,578.420275,2018,1
31,9841,26656630.58,902.849469,2018,1
32,16766,49063673.58,975.459731,2018,1
33,1766,11175324.98,2108.551883,2018,1
34,13148,42770455.56,1084.306136,2018,1
35,7941,27570123.44,1157.241581,2018,1
36,31322,78664995.58,837.164459,2018,1
37,23470,71396305.98,1013.979236,2018,1
