"oblast","obshtina","godina","naeti","godzaplata"
"Перник","Перник","2014","21619","7087"
"Перник","Радомир","2014","3565","7263"
"Перник","Трън","2014","500","6508"
"София","total","2014","59694","9766"
"София","Антон","2014","184","6169"
"София","Божурище","2014","2038","8601"
"София","Ботевград","2014","10905","9364"
"София","Годеч","2014","1365","8457"
"София","Горна Малина","2014","685","7270"
"София","Долна баня","2014","590","7697"
"София","Драгоман","2014","1306","8039"
"София","Елин Пелин","2014","7954","11598"
"София","Етрополе","2014","2673","6629"
"София","Златица","2014","870","6822"
"София","Ихтиман","2014","2889","7816"
"София","Копривщица","2014","334","6224"
"София","Костенец","2014","2340","6656"
"София","Костинброд","2014","5585","11081"
"София","Мирково","2014","..",".."
"София","Пирдоп","2014","3043","15642"
"София","Правец","2014","1545","7707"
"София","Самоков","2014","7869","6779"
"София","Своге","2014","2915","7944"
"София","Сливница","2014","1328","7460"
"София","Чавдар","2014","..","7616"
"София","Челопеч","2014","1196","23512"
"София (столица)","total","2014","696588","13542"
"София (столица)","Столична","2014","696588","13542"
"Кърджали","total","2014","29458","7222"
"Кърджали","Ардино","2014","1789","5814"
"Кърджали","Джебел","2014","1865","6777"
"Кърджали","Кирково","2014","2591","6028"
"Кърджали","Крумовград","2014","1960","7066"
"Кърджали","Кърджали","2014","17400","7849"
"Кърджали","Момчилград","2014","2769","6287"
"Кърджали","Черноочене","2014","1084","5785"
"Пазарджик","total","2014","60089","7650"
"Пазарджик","Батак","2014","1653","8177"
"Пазарджик","Белово","2014","1459","7730"
"Пазарджик","Брацигово","2014","1052","5688"
"Пазарджик","Велинград","2014","8054","6358"
"Пазарджик","Лесичово","2014","624","5706"
"Пазарджик","Пазарджик","2014","27629","7137"
"Пазарджик","Панагюрище","2014","7420","12706"
"Пазарджик","Пещера","2014","5966","6522"
"Пазарджик","Ракитово","2014","1730","5923"
"Пазарджик","Септември","2014","3888","7673"
"Пазарджик","Стрелча","2014","614","5837"
"Пазарджик","Сърница","2014","",""
"Пловдив","total","2014","207057","8504"
"Пловдив","Асеновград","2014","11848","6591"
"Пловдив","Брезово","2014","931","8214"
"Пловдив","Калояново","2014","1716","7382"
"Пловдив","Карлово","2014","8224","6852"
"Пловдив","Кричим","2014","1385","7196"
"Пловдив","Куклен","2014","1047","7693"
"Пловдив","Лъки","2014","1134","10205"
"Пловдив","Марица","2014","11576","9195"
"Пловдив","Перущица","2014","934","6327"
"Пловдив","Пловдив","2014","135599","9028"
"Пловдив","Първомай","2014","4984","6868"
"Пловдив","Раковски","2014","6771","8084"
"Пловдив","Родопи","2014","4312","7154"
"Пловдив","Садово","2014","2295","6458"
"Пловдив","Сопот","2014","5229","7506"
"Пловдив","Стамболийски","2014","2969","7667"
"Пловдив","Съединение","2014","3909","7063"
"Пловдив","Хисаря","2014","2194","7218"
"Смолян","total","2014","30952","7253"
"Смолян","Баните","2014","612","5666"
"Смолян","Борино","2014","653","5623"
"Смолян","Девин","2014","2594","9680"
"Смолян","Доспат","2014","2264","5973"
"Смолян","Златоград","2014","3109","6530"
"Смолян","Мадан","2014","3079","7216"
"Смолян","Неделино","2014","856","5225"
"Смолян","Рудозем","2014","2230","6592"
"Смолян","Смолян","2014","12914","7447"
"Смолян","Чепеларе","2014","2641","7874"
"Хасково","total","2014","52083","6947"
"Хасково","Димитровград","2014","12331","7425"
"Хасково","Ивайловград","2014","1010","6145"
"Хасково","Любимец","2014","1143","5996"
"Хасково","Маджарово","2014","164","6286"
"Хасково","Минерални бани","2014","640","4903"
"Хасково","Свиленград","2014","5549","6790"
"Хасково","Симеоновград","2014","621","6463"
"Хасково","Стамболово","2014","631","6455"
"Хасково","Тополовград","2014","1151","6776"
"Хасково","Харманли","2014","4185","6219"
"Хасково","Хасково","2014","24658","7036"
"Видин","total","2015","16823","7011"
"Видин","Белоградчик","2015","926","6680"
"Видин","Бойница","2015","164","6557"
"Видин","Брегово","2015","559","6935"
"Видин","Видин","2015","12596","6986"
"Видин","Грамада","2015","315","6816"
"Видин","Димово","2015","591","7710"
"Видин","Кула","2015","697","8023"
"Видин","Макреш","2015","140","6642"
"Видин","Ново село","2015","295","6602"
"Видин","Ружинци","2015","286","6201"
"Видин","Чупрене","2015","254","7328"
"Враца","total","2015","37200","10332"
"Враца","Борован","2015","498","6171"
"Враца","Бяла Слатина","2015","3302","6933"
"Враца","Враца","2015","17892","7693"
"Враца","Козлодуй","2015","7934","20949"
"Враца","Криводол","2015","822","8177"
"Враца","Мездра","2015","3294","6907"
"Враца","Мизия","2015","856","6666"
"Враца","Оряхово","2015","1274","7932"
"Враца","Роман","2015","860","6773"
"Враца","Хайредин","2015","468","6744"
"Ловеч","total","2015","33502","8033"
"Ловеч","Априлци","2015","699","6748"
"Ловеч","Летница","2015","1128","11460"
"Ловеч","Ловеч","2015","13805","8441"
"Ловеч","Луковит","2015","2830","7541"
"Ловеч","Тетевен","2015","3117","6520"
"Ловеч","Троян","2015","10002","7703"
"Ловеч","Угърчин","2015","782","6870"
"Ловеч","Ябланица","2015","1139","9525"
"Монтана","total","2015","28152","7971"
"Монтана","Берковица","2015","3182","7577"
"Монтана","Бойчиновци","2015","806","7413"
"Монтана","Брусарци","2015","351","6418"
"Монтана","Вълчедръм","2015","924","8968"
"Монтана","Вършец","2015","1174","7490"
"Монтана","Георги Дамяново","2015","377","7002"
"Монтана","Лом","2015","5329","7610"
"Монтана","Медковец","2015","356","7120"
"Монтана","Монтана","2015","14519","8302"
"Монтана","Чипровци","2015","682","7381"
"Монтана","Якимово","2015","452","8137"
"Плевен","total","2015","59600","7892"
"Плевен","Белене","2015","1611","7542"
"Плевен","Гулянци","2015","1048","6713"
"Плевен","Долна Митрополия","2015","2300","7479"
"Плевен","Долни Дъбник","2015","1882","8117"
"Плевен","Искър","2015","665","6304"
"Плевен","Кнежа","2015","2371","7963"
"Плевен","Левски","2015","3042","7175"
"Плевен","Никопол","2015","1170","7428"
"Плевен","Плевен","2015","40979","8049"
"Плевен","Пордим","2015","916","7715"
"Плевен","Червен бряг","2015","3616","7808"
"Велико Търново","total","2015","67141","8213"
"Велико Търново","Велико Търново","2015","31013","8675"
"Велико Търново","Горна Оряховица","2015","11745","8139"
"Велико Търново","Елена","2015","1717","6659"
"Велико Търново","Златарица","2015","451","6161"
"Велико Търново","Лясковец","2015","5011","8117"
"Велико Търново","Павликени","2015","4466","7488"
"Велико Търново","Полски Тръмбеш","2015","1585","6718"
"Велико Търново","Свищов","2015","8319","8081"
"Велико Търново","Стражица","2015","2442","7367"
"Велико Търново","Сухиндол","2015","392","7057"
"Габрово","total","2015","38935","8826"
"Габрово","Габрово","2015","19841","8200"
"Габрово","Дряново","2015","2296","9074"
"Габрово","Севлиево","2015","13568","10164"
"Габрово","Трявна","2015","3230","6855"
"Разград","total","2015","26055","8702"
"Разград","Завет","2015","1261","7015"
"Разград","Исперих","2015","4467","7773"
"Разград","Кубрат","2015","2385","7067"
"Разград","Лозница","2015","932","6825"
"Разград","Разград","2015","15346","9650"
"Разград","Самуил","2015","988","7519"
"Разград","Цар Калоян","2015","676","6550"
"Русе","total","2015","69089","8563"
"Русе","Борово","2015","713","7673"
"Русе","Бяла","2015","3041","7704"
"Русе","Ветово","2015","2418","9009"
"Русе","Две могили","2015","1223","7400"
"Русе","Иваново","2015","1034","7918"
"Русе","Русе","2015","58395","8646"
"Русе","Сливо поле","2015","1674","8836"
"Русе","Ценово","2015","591","6883"
"Силистра","total","2015","21191","7494"
"Силистра","Алфатар","2015","478","6612"
"Силистра","Главиница","2015","985","7869"
"Силистра","Дулово","2015","3159","6712"
"Силистра","Кайнарджа","2015","501","7076"
"Силистра","Силистра","2015","12797","7815"
"Силистра","Ситово","2015","898","6518"
"Силистра","Тутракан","2015","2373","7287"
"Варна","total","2015","151747","10000"
"Варна","Аврен","2015","1513","8122"
"Варна","Аксаково","2015","3748","9505"
"Варна","Белослав","2015","2407","11732"
"Варна","Бяла","2015","876","7775"
"Варна","Варна","2015","127964","9952"
"Варна","Ветрино","2015","809","7276"
"Варна","Вълчи дол","2015","1330","8696"
"Варна","Девня","2015","5401","15074"
"Варна","Долни чифлик","2015","1938","7418"
"Варна","Дългопол","2015","1543","7034"
"Варна","Провадия","2015","3130","8191"
"Варна","Суворово","2015","1088","10120"
"Добрич","total","2015","40496","8084"
"Добрич","Балчик","2015","6456","8617"
"Добрич","Генерал Тошево","2015","2643","7815"
"Добрич","Добрич-селска","2015","2684","9677"
"Добрич","Добрич","2015","21225","7718"
"Добрич","Каварна","2015","3314","8833"
"Добрич","Крушари","2015","450","8257"
"Добрич","Тервел","2015","2846","7435"
"Добрич","Шабла","2015","878","8055"
"Търговище","total","2015","28629","7902"
"Търговище","Антоново","2015","480","6931"
"Търговище","Омуртаг","2015","2630","6799"
"Търговище","Опака","2015","755","6857"
"Търговище","Попово","2015","5966","7708"
"Търговище","Търговище","2015","18798","8183"
"Шумен","total","2015","42163","8505"
"Шумен","Велики Преслав","2015","2283","6960"
"Шумен","Венец","2015","638","6933"
"Шумен","Върбица","2015","954","6183"
"Шумен","Каолиново","2015","974","6356"
"Шумен","Каспичан","2015","2254","8927"
"Шумен","Никола Козлево","2015","537","7653"
"Шумен","Нови пазар","2015","3177","7496"
"Шумен","Смядово","2015","615","6606"
"Шумен","Хитрино","2015","610","7686"
"Шумен","Шумен","2015","30121","8943"
"Бургас","total","2015","123543","9102"
"Бургас","Айтос","2015","3419","6807"
"Бургас","Бургас","2015","73632","10266"
"Бургас","Камено","2015","1626","9053"
"Бургас","Карнобат","2015","8876","7772"
"Бургас","Малко Търново","2015","602","7282"
"Бургас","Несебър","2015","16212","7272"
"Бургас","Поморие","2015","5253","7479"
"Бургас","Приморско","2015","2309","6485"
"Бургас","Руен","2015","2818","6675"
"Бургас","Созопол","2015","3266","6980"
"Бургас","Средец","2015","2178","9622"
"Бургас","Сунгурларе","2015","1292","7138"
"Бургас","Царево","2015","2060","6471"
"Сливен","total","2015","37425","7830"
"Сливен","Котел","2015","1649","7142"
"Сливен","Нова Загора","2015","6096","7301"
"Сливен","Сливен","2015","28239","8023"
"Сливен","Твърдица","2015","1441","7063"
"Стара Загора","total","2015","101646","10667"
"Стара Загора","Братя Даскалови","2015","1171","7097"
"Стара Загора","Гурково","2015","1167","8885"
"Стара Загора","Гълъбово","2015","6797","17334"
"Стара Загора","Казанлък","2015","23710","8931"
"Стара Загора","Мъглиж","2015","1219","7908"
"Стара Загора","Николаево","2015","373","7462"
"Стара Загора","Опан","2015","319","7301"
"Стара Загора","Павел баня","2015","2224","8648"
"Стара Загора","Раднево","2015","11610","19218"
"Стара Загора","Стара Загора","2015","49751","9029"
"Стара Загора","Чирпан","2015","3305","8623"
"Ямбол","total","2015","32780","8053"
"Ямбол","Болярово","2015","578","6428"
"Ямбол","Елхово","2015","2438","7520"
"Ямбол","Стралджа","2015","1512","7850"
"Ямбол","Тунджа","2015","3410","8664"
"Ямбол","Ямбол","2015","24842","8071"
