Брутен вътрешен продукт;По цени на предходната година;2011Q4;млн. лв.;20682;
Брутен вътрешен продукт;По цени на предходната година;2012Q1;млн. лв.;16782;
Брутен вътрешен продукт;По цени на предходната година;2012Q2;млн. лв.;20093;
Брутен вътрешен продукт;По цени на предходната година;2012Q3;млн. лв.;22120;
Брутен вътрешен продукт;По цени на предходната година;2012Q4;млн. лв.;21978;
Брутен вътрешен продукт;По цени на предходната година;2013Q1;млн. лв.;16880;
Брутен вътрешен продукт;По цени на предходната година;2013Q2;млн. лв.;20172;
Брутен вътрешен продукт;По цени на предходната година;2013Q3;млн. лв.;22636;
Брутен вътрешен продукт;По цени на предходната година;2013Q4;млн. лв.;22783;
Брутен вътрешен продукт;По цени на предходната година;2014Q1;млн. лв.;16914;
Брутен вътрешен продукт;По цени на предходната година;2014Q2;млн. лв.;20462;
Брутен вътрешен продукт;По цени на предходната година;2014Q3;млн. лв.;22794;
Брутен вътрешен продукт;По цени на предходната година;2014Q4;млн. лв.;23301;
Брутен вътрешен продукт;По цени на предходната година;2015Q1;млн. лв.;17705;
Брутен вътрешен продукт;По цени на предходната година;2015Q2;млн. лв.;21270;
Брутен вътрешен продукт;По цени на предходната година;2015Q3;млн. лв.;23859;
Брутен вътрешен продукт;По цени на предходната година;2015Q4;млн. лв.;24369;
Брутен вътрешен продукт;По цени на предходната година;2016Q1;млн. лв.;18871;
Брутен вътрешен продукт;По цени на предходната година;2016Q2;млн. лв.;22738;
Брутен вътрешен продукт;По цени на предходната година;2016Q3;млн. лв.;25148;
Брутен вътрешен продукт;По цени на предходната година;2016Q4;млн. лв.;25980;
Брутен вътрешен продукт;По цени на предходната година;2017Q1;млн. лв.;20033;
Брутен вътрешен продукт;По цени на предходната година;2017Q2;млн. лв.;24134;
Брутен вътрешен продукт;По цени на предходната година;2017Q3;млн. лв.;26798;
Брутен вътрешен продукт;По цени на предходната година;2017Q4;млн. лв.;27461;
Брутен вътрешен продукт;По цени на предходната година;2018Q1;млн. лв.;21463;
Брутен вътрешен продукт;По цени на предходната година;2018Q2;млн. лв.;25832;
Брутен вътрешен продукт;По цени на предходната година;2018Q3;млн. лв.;28769;
Брутен вътрешен продукт;По цени на предходната година;2018Q4;млн. лв.;29399;
Брутен вътрешен продукт;По цени на предходната година;2019Q1;млн. лв.;23323;
Брутен вътрешен продукт;По цени на предходната година;2019Q2;млн. лв.;27830;
Брутен вътрешен продукт;По цени на предходната година;2019Q3;млн. лв.;30776;
Брутен вътрешен продукт;По цени на предходната година;2019Q4;млн. лв.;31465;
Брутен вътрешен продукт;По цени на предходната година;2020Q1;млн. лв.;24697;
Брутен вътрешен продукт;По цени на предходната година;2020Q2;млн. лв.;26588;
Брутен вътрешен продукт;По цени на 2015 г.;1995Q1;млн. лв.;10650;
Брутен вътрешен продукт;По цени на 2015 г.;1995Q2;млн. лв.;13051;
Брутен вътрешен продукт;По цени на 2015 г.;1995Q3;млн. лв.;15938;
Брутен вътрешен продукт;По цени на 2015 г.;1995Q4;млн. лв.;18854;
Брутен вътрешен продукт;По цени на 2015 г.;1996Q1;млн. лв.;13272;
