;;;брой лица в хиляди;
Общо;BG311;2003Q1;30.6;
Общо;BG311;2003Q2;35.6;
Общо;BG311;2003Q3;36.2;
Общо;BG311;2003Q4;32.3;
Общо;BG311;2004Q1;33.1;
Общо;BG311;2004Q2;33.9;
Общо;BG311;2004Q3;31.9;
Общо;BG311;2004Q4;30.5;
Общо;BG311;2005Q1;29.3;
Общо;BG311;2005Q2;32.6;
Общо;BG311;2005Q3;32.3;
Общо;BG311;2005Q4;30.1;
Общо;BG311;2006Q1;29.7;
Общо;BG311;2006Q2;33.5;
Общо;BG311;2006Q3;34.7;
Общо;BG311;2006Q4;36.4;
Общо;BG311;2007Q1;33.6;
Общо;BG311;2007Q2;37.6;
Общо;BG311;2007Q3;40.7;
Общо;BG311;2007Q4;38.8;
Общо;BG311;2008Q1;37.9;
Общо;BG311;2008Q2;37.6;
Общо;BG311;2008Q3;40.4;
Общо;BG311;2008Q4;38.9;
Общо;BG311;2009Q1;34.9;
Общо;BG311;2009Q2;34.5;
Общо;BG311;2009Q3;35.1;
Общо;BG311;2009Q4;36.8;
Общо;BG311;2010Q1;33.3;
Общо;BG311;2010Q2;32.0;
Общо;BG311;2010Q3;32.5;
Общо;BG311;2010Q4;33.5;
Общо;BG311;2011Q1;33.0;
Общо;BG311;2011Q2;29.7;
Общо;BG311;2011Q3;30.6;
Общо;BG311;2011Q4;33.6;
Общо;BG311;2012Q1;32.9;
Общо;BG311;2012Q2;32.2;
Общо;BG311;2012Q3;30.8;
Общо;BG311;2012Q4;31.8;
Общо;BG311;2013Q1;33.7;
Общо;BG311;2013Q2;34.3;
Общо;BG311;2013Q3;32.7;
Общо;BG311;2013Q4;33.7;
Общо;BG311;2014Q1;34.9;
Общо;BG311;2014Q2;32.3;
Общо;BG311;2014Q3;30.5;
Общо;BG311;2014Q4;30.8;
Общо;BG311;2015Q1;32.9;
Общо;BG311;2015Q2;33.8;
Общо;BG311;2015Q3;33.2;
Общо;BG311;2015Q4;33.1;
Общо;BG311;2016Q1;30.7;
Общо;BG311;2016Q2;28.9;
Общо;BG311;2016Q3;31.9;
Общо;BG311;2016Q4;32.8;
Общо;BG311;2017Q1;31.5;
Общо;BG311;2017Q2;30.6;
Общо;BG311;2017Q3;27.5;
Общо;BG311;2017Q4;29.1;
Общо;BG311;2018Q1;30.7;
Общо;BG311;2018Q2;31.0;
Общо;BG311;2018Q3;29.7;
Общо;BG311;2018Q4;29.5;
Общо;BG311;2019Q1;28.8;
Общо;BG311;2019Q2;27.4;
Общо;BG311;2019Q3;28.5;
Общо;BG313;2003Q1;70.6;
Общо;BG313;2003Q2;62.6;
Общо;BG313;2003Q3;63.4;
Общо;BG313;2003Q4;63.4;
Общо;BG313;2004Q1;61.0;
Общо;BG313;2004Q2;65.6;
Общо;BG313;2004Q3;71.1;
Общо;BG313;2004Q4;73.7;
Общо;BG313;2005Q1;59.5;
Общо;BG313;2005Q2;65.9;
Общо;BG313;2005Q3;68.7;
Общо;BG313;2005Q4;68.0;
Общо;BG313;2006Q1;66.4;
Общо;BG313;2006Q2;69.6;
Общо;BG313;2006Q3;70.2;
Общо;BG313;2006Q4;72.4;
Общо;BG313;2007Q1;68.5;
Общо;BG313;2007Q2;76.4;
Общо;BG313;2007Q3;78.7;
Общо;BG313;2007Q4;77.2;
Общо;BG313;2008Q1;74.2;
Общо;BG313;2008Q2;75.1;
Общо;BG313;2008Q3;76.6;
Общо;BG313;2008Q4;78.3;
Общо;BG313;2009Q1;74.8;
Общо;BG313;2009Q2;70.1;
Общо;BG313;2009Q3;72.5;
Общо;BG313;2009Q4;73.6;
Общо;BG313;2010Q1;68.9;
Общо;BG313;2010Q2;68.2;
Общо;BG313;2010Q3;66.6;
Общо;BG313;2010Q4;65.1;
Общо;BG313;2011Q1;64.0;
Общо;BG313;2011Q2;66.8;
Общо;BG313;2011Q3;66.6;
Общо;BG313;2011Q4;66.3;
Общо;BG313;2012Q1;64.3;
Общо;BG313;2012Q2;60.2;
Общо;BG313;2012Q3;62.3;
Общо;BG313;2012Q4;65.2;
Общо;BG313;2013Q1;61.8;
Общо;BG313;2013Q2;59.8;
Общо;BG313;2013Q3;63.3;
Общо;BG313;2013Q4;60.4;
Общо;BG313;2014Q1;57.5;
Общо;BG313;2014Q2;60.4;
Общо;BG313;2014Q3;63.0;
Общо;BG313;2014Q4;60.6;
Общо;BG313;2015Q1;56.4;
Общо;BG313;2015Q2;57.8;
Общо;BG313;2015Q3;56.8;
Общо;BG313;2015Q4;54.5;
Общо;BG313;2016Q1;52.3;
Общо;BG313;2016Q2;56.8;
Общо;BG313;2016Q3;56.2;
Общо;BG313;2016Q4;53.7;
Общо;BG313;2017Q1;55.9;
Общо;BG313;2017Q2;60.7;
Общо;BG313;2017Q3;60.8;
Общо;BG313;2017Q4;59.0;
Общо;BG313;2018Q1;58.8;
Общо;BG313;2018Q2;57.5;
Общо;BG313;2018Q3;56.3;
Общо;BG313;2018Q4;54.9;
Общо;BG313;2019Q1;56.4;
Общо;BG313;2019Q2;60.9;
Общо;BG313;2019Q3;65.0;
Общо;BG315;2003Q1;53.8;
Общо;BG315;2003Q2;53.7;
Общо;BG315;2003Q3;58.1;
Общо;BG315;2003Q4;56.9;
Общо;BG315;2004Q1;49.7;
Общо;BG315;2004Q2;52.4;
Общо;BG315;2004Q3;58.2;
Общо;BG315;2004Q4;55.5;
Общо;BG315;2005Q1;52.0;
Общо;BG315;2005Q2;54.3;
Общо;BG315;2005Q3;58.0;
Общо;BG315;2005Q4;54.4;
Общо;BG315;2006Q1;58.2;
Общо;BG315;2006Q2;58.5;
Общо;BG315;2006Q3;61.2;
Общо;BG315;2006Q4;64.5;
Общо;BG315;2007Q1;66.2;
Общо;BG315;2007Q2;64.7;
Общо;BG315;2007Q3;63.3;
Общо;BG315;2007Q4;66.5;
Общо;BG315;2008Q1;67.3;
Общо;BG315;2008Q2;65.1;
Общо;BG315;2008Q3;61.9;
Общо;BG315;2008Q4;64.4;
Общо;BG315;2009Q1;66.0;
Общо;BG315;2009Q2;64.1;
Общо;BG315;2009Q3;63.9;
Общо;BG315;2009Q4;60.1;
Общо;BG315;2010Q1;55.9;
Общо;BG315;2010Q2;57.4;
Общо;BG315;2010Q3;58.1;
Общо;BG315;2010Q4;56.7;
Общо;BG315;2011Q1;48.3;
Общо;BG315;2011Q2;48.8;
Общо;BG315;2011Q3;50.8;
Общо;BG315;2011Q4;51.1;
Общо;BG315;2012Q1;46.4;
Общо;BG315;2012Q2;43.8;
Общо;BG315;2012Q3;46.6;
Общо;BG315;2012Q4;46.6;
Общо;BG315;2013Q1;42.8;
Общо;BG315;2013Q2;41.7;
Общо;BG315;2013Q3;46.8;
Общо;BG315;2013Q4;47.0;
Общо;BG315;2014Q1;41.3;
Общо;BG315;2014Q2;40.3;
Общо;BG315;2014Q3;44.4;
Общо;BG315;2014Q4;45.6;
Общо;BG315;2015Q1;43.3;
Общо;BG315;2015Q2;47.0;
Общо;BG315;2015Q3;46.5;
Общо;BG315;2015Q4;42.3;
Общо;BG315;2016Q1;42.5;
Общо;BG315;2016Q2;46.5;
Общо;BG315;2016Q3;40.9;
Общо;BG315;2016Q4;37.4;
Общо;BG315;2017Q1;40.2;
Общо;BG315;2017Q2;44.3;
Общо;BG315;2017Q3;44.2;
Общо;BG315;2017Q4;48.0;
Общо;BG315;2018Q1;44.6;
Общо;BG315;2018Q2;45.5;
Общо;BG315;2018Q3;47.5;
Общо;BG315;2018Q4;50.8;
Общо;BG315;2019Q1;49.0;
Общо;BG315;2019Q2;49.5;
Общо;BG315;2019Q3;53.0;
Общо;BG312;2003Q1;58.4;
Общо;BG312;2003Q2;60.9;
Общо;BG312;2003Q3;57.4;
Общо;BG312;2003Q4;55.1;
Общо;BG312;2004Q1;57.4;
Общо;BG312;2004Q2;57.8;
Общо;BG312;2004Q3;59.6;
Общо;BG312;2004Q4;54.4;
Общо;BG312;2005Q1;48.2;
Общо;BG312;2005Q2;56.8;
Общо;BG312;2005Q3;63.7;
Общо;BG312;2005Q4;54.2;
Общо;BG312;2006Q1;47.2;
Общо;BG312;2006Q2;57.7;
Общо;BG312;2006Q3;59.3;
Общо;BG312;2006Q4;56.1;
Общо;BG312;2007Q1;57.1;
Общо;BG312;2007Q2;59.6;
Общо;BG312;2007Q3;57.8;
Общо;BG312;2007Q4;57.4;
Общо;BG312;2008Q1;58.5;
Общо;BG312;2008Q2;63.1;
Общо;BG312;2008Q3;62.7;
Общо;BG312;2008Q4;60.3;
Общо;BG312;2009Q1;58.5;
Общо;BG312;2009Q2;60.7;
Общо;BG312;2009Q3;58.5;
Общо;BG312;2009Q4;58.9;
Общо;BG312;2010Q1;56.4;
Общо;BG312;2010Q2;54.7;
Общо;BG312;2010Q3;52.3;
Общо;BG312;2010Q4;56.4;
Общо;BG312;2011Q1;54.0;
Общо;BG312;2011Q2;48.6;
Общо;BG312;2011Q3;48.2;
Общо;BG312;2011Q4;49.3;
Общо;BG312;2012Q1;52.1;
Общо;BG312;2012Q2;50.3;
Общо;BG312;2012Q3;47.8;
Общо;BG312;2012Q4;46.4;
Общо;BG312;2013Q1;46.3;
Общо;BG312;2013Q2;48.9;
Общо;BG312;2013Q3;51.8;
Общо;BG312;2013Q4;45.4;
Общо;BG312;2014Q1;44.5;
Общо;BG312;2014Q2;50.8;
Общо;BG312;2014Q3;54.4;
Общо;BG312;2014Q4;49.1;
Общо;BG312;2015Q1;43.2;
Общо;BG312;2015Q2;46.1;
Общо;BG312;2015Q3;51.4;
Общо;BG312;2015Q4;47.0;
Общо;BG312;2016Q1;44.8;
Общо;BG312;2016Q2;44.5;
Общо;BG312;2016Q3;46.5;
Общо;BG312;2016Q4;46.3;
Общо;BG312;2017Q1;43.5;
Общо;BG312;2017Q2;50.2;
Общо;BG312;2017Q3;47.9;
Общо;BG312;2017Q4;46.6;
Общо;BG312;2018Q1;44.5;
Общо;BG312;2018Q2;42.0;
Общо;BG312;2018Q3;41.3;
Общо;BG312;2018Q4;41.8;
Общо;BG312;2019Q1;40.7;
Общо;BG312;2019Q2;37.9;
Общо;BG312;2019Q3;36.5;
Общо;BG314;2003Q1;99.1;
Общо;BG314;2003Q2;107.6;
Общо;BG314;2003Q3;105.0;
Общо;BG314;2003Q4;102.0;
Общо;BG314;2004Q1;101.3;
Общо;BG314;2004Q2;110.8;
Общо;BG314;2004Q3;109.3;
Общо;BG314;2004Q4;106.1;
Общо;BG314;2005Q1;105.6;
Общо;BG314;2005Q2;110.5;
Общо;BG314;2005Q3;108.4;
Общо;BG314;2005Q4;105.7;
Общо;BG314;2006Q1;103.0;
Общо;BG314;2006Q2;108.8;
Общо;BG314;2006Q3;109.8;
Общо;BG314;2006Q4;113.5;
Общо;BG314;2007Q1;101.8;
Общо;BG314;2007Q2;107.0;
Общо;BG314;2007Q3;113.2;
Общо;BG314;2007Q4;115.6;
Общо;BG314;2008Q1;112.6;
Общо;BG314;2008Q2;116.5;
Общо;BG314;2008Q3;124.2;
Общо;BG314;2008Q4;121.8;
Общо;BG314;2009Q1;113.4;
Общо;BG314;2009Q2;109.0;
Общо;BG314;2009Q3;111.8;
Общо;BG314;2009Q4;108.0;
Общо;BG314;2010Q1;98.0;
Общо;BG314;2010Q2;98.8;
Общо;BG314;2010Q3;95.4;
Общо;BG314;2010Q4;93.6;
Общо;BG314;2011Q1;88.9;
Общо;BG314;2011Q2;92.9;
Общо;BG314;2011Q3;98.5;
Общо;BG314;2011Q4;99.7;
Общо;BG314;2012Q1;91.3;
Общо;BG314;2012Q2;86.5;
Общо;BG314;2012Q3;96.3;
Общо;BG314;2012Q4;103.8;
Общо;BG314;2013Q1;97.3;
Общо;BG314;2013Q2;91.3;
Общо;BG314;2013Q3;99.1;
Общо;BG314;2013Q4;99.7;
Общо;BG314;2014Q1;96.6;
Общо;BG314;2014Q2;91.2;
Общо;BG314;2014Q3;93.6;
Общо;BG314;2014Q4;96.9;
Общо;BG314;2015Q1;95.5;
Общо;BG314;2015Q2;97.7;
Общо;BG314;2015Q3;101.1;
Общо;BG314;2015Q4;102.3;
Общо;BG314;2016Q1;90.5;
Общо;BG314;2016Q2;90.7;
Общо;BG314;2016Q3;97.4;
Общо;BG314;2016Q4;98.4;
Общо;BG314;2017Q1;92.5;
Общо;BG314;2017Q2;90.8;
Общо;BG314;2017Q3;97.6;
Общо;BG314;2017Q4;98.3;
Общо;BG314;2018Q1;97.1;
Общо;BG314;2018Q2;99.4;
Общо;BG314;2018Q3;100.5;
Общо;BG314;2018Q4;93.5;
Общо;BG314;2019Q1;90.6;
Общо;BG314;2019Q2;95.8;
Общо;BG314;2019Q3;97.3;
Общо;BG321;2003Q1;98.9;
Общо;BG321;2003Q2;105.0;
Общо;BG321;2003Q3;99.3;
Общо;BG321;2003Q4;99.3;
Общо;BG321;2004Q1;101.4;
Общо;BG321;2004Q2;101.4;
Общо;BG321;2004Q3;102.1;
Общо;BG321;2004Q4;105.3;
Общо;BG321;2005Q1;100.7;
Общо;BG321;2005Q2;97.7;
Общо;BG321;2005Q3;89.9;
Общо;BG321;2005Q4;98.3;
Общо;BG321;2006Q1;97.5;
Общо;BG321;2006Q2;98.2;
Общо;BG321;2006Q3;102.7;
Общо;BG321;2006Q4;109.3;
Общо;BG321;2007Q1;106.6;
Общо;BG321;2007Q2;111.7;
Общо;BG321;2007Q3;112.2;
Общо;BG321;2007Q4;110.3;
Общо;BG321;2008Q1;104.2;
Общо;BG321;2008Q2;107.4;
Общо;BG321;2008Q3;117.8;
Общо;BG321;2008Q4;109.1;
Общо;BG321;2009Q1;102.1;
Общо;BG321;2009Q2;106.4;
Общо;BG321;2009Q3;106.4;
Общо;BG321;2009Q4;102.0;
Общо;BG321;2010Q1;94.8;
Общо;BG321;2010Q2;94.2;
Общо;BG321;2010Q3;90.8;
Общо;BG321;2010Q4;95.0;
Общо;BG321;2011Q1;94.9;
Общо;BG321;2011Q2;98.4;
Общо;BG321;2011Q3;97.0;
Общо;BG321;2011Q4;96.4;
Общо;BG321;2012Q1;92.4;
Общо;BG321;2012Q2;96.4;
Общо;BG321;2012Q3;102.3;
Общо;BG321;2012Q4;93.0;
Общо;BG321;2013Q1;88.8;
Общо;BG321;2013Q2;94.1;
Общо;BG321;2013Q3;100.5;
Общо;BG321;2013Q4;96.1;
Общо;BG321;2014Q1;99.5;
Общо;BG321;2014Q2;100.6;
Общо;BG321;2014Q3;102.3;
Общо;BG321;2014Q4;103.5;
Общо;BG321;2015Q1;102.9;
Общо;BG321;2015Q2;105.1;
Общо;BG321;2015Q3;108.8;
Общо;BG321;2015Q4;111.6;
Общо;BG321;2016Q1;98.5;
Общо;BG321;2016Q2;103.0;
Общо;BG321;2016Q3;112.1;
Общо;BG321;2016Q4;105.9;
Общо;BG321;2017Q1;98.6;
Общо;BG321;2017Q2;105.0;
Общо;BG321;2017Q3;107.5;
Общо;BG321;2017Q4;110.9;
Общо;BG321;2018Q1;107.6;
Общо;BG321;2018Q2;102.5;
Общо;BG321;2018Q3;100.1;
Общо;BG321;2018Q4;104.3;
Общо;BG321;2019Q1;114.8;
Общо;BG321;2019Q2;123.8;
Общо;BG321;2019Q3;128.2;
Общо;BG322;2003Q1;58.8;
Общо;BG322;2003Q2;57.1;
Общо;BG322;2003Q3;54.5;
Общо;BG322;2003Q4;57.4;
Общо;BG322;2004Q1;50.7;
Общо;BG322;2004Q2;57.2;
Общо;BG322;2004Q3;58.2;
Общо;BG322;2004Q4;56.3;
Общо;BG322;2005Q1;54.5;
Общо;BG322;2005Q2;54.9;
Общо;BG322;2005Q3;56.6;
Общо;BG322;2005Q4;59.0;
Общо;BG322;2006Q1;57.9;
Общо;BG322;2006Q2;60.5;
Общо;BG322;2006Q3;63.9;
Общо;BG322;2006Q4;58.6;
Общо;BG322;2007Q1;53.4;
Общо;BG322;2007Q2;60.4;
Общо;BG322;2007Q3;65.1;
Общо;BG322;2007Q4;62.0;
Общо;BG322;2008Q1;60.8;
Общо;BG322;2008Q2;60.5;
Общо;BG322;2008Q3;61.1;
Общо;BG322;2008Q4;63.1;
Общо;BG322;2009Q1;57.5;
Общо;BG322;2009Q2;58.6;
Общо;BG322;2009Q3;53.3;
Общо;BG322;2009Q4;52.5;
Общо;BG322;2010Q1;49.9;
Общо;BG322;2010Q2;54.7;
Общо;BG322;2010Q3;50.8;
Общо;BG322;2010Q4;48.9;
Общо;BG322;2011Q1;47.0;
Общо;BG322;2011Q2;49.0;
Общо;BG322;2011Q3;49.9;
Общо;BG322;2011Q4;45.7;
Общо;BG322;2012Q1;43.9;
Общо;BG322;2012Q2;48.1;
Общо;BG322;2012Q3;51.1;
Общо;BG322;2012Q4;49.7;
Общо;BG322;2013Q1;50.6;
Общо;BG322;2013Q2;48.5;
Общо;BG322;2013Q3;52.3;
Общо;BG322;2013Q4;51.7;
Общо;BG322;2014Q1;47.4;
Общо;BG322;2014Q2;47.8;
Общо;BG322;2014Q3;53.1;
Общо;BG322;2014Q4;51.5;
Общо;BG322;2015Q1;47.9;
Общо;BG322;2015Q2;46.5;
Общо;BG322;2015Q3;49.6;
Общо;BG322;2015Q4;53.4;
Общо;BG322;2016Q1;51.1;
Общо;BG322;2016Q2;46.8;
Общо;BG322;2016Q3;45.1;
Общо;BG322;2016Q4;49.4;
Общо;BG322;2017Q1;49.1;
Общо;BG322;2017Q2;48.1;
Общо;BG322;2017Q3;45.5;
Общо;BG322;2017Q4;43.9;
Общо;BG322;2018Q1;43.9;
Общо;BG322;2018Q2;46.8;
Общо;BG322;2018Q3;46.8;
Общо;BG322;2018Q4;45.3;
Общо;BG322;2019Q1;43.7;
Общо;BG322;2019Q2;46.0;
Общо;BG322;2019Q3;48.8;
Общо;BG324;2003Q1;43.3;
Общо;BG324;2003Q2;45.3;
Общо;BG324;2003Q3;42.6;
Общо;BG324;2003Q4;42.4;
Общо;BG324;2004Q1;41.2;
Общо;BG324;2004Q2;44.1;
Общо;BG324;2004Q3;47.5;
Общо;BG324;2004Q4;44.6;
Общо;BG324;2005Q1;39.9;
Общо;BG324;2005Q2;42.4;
Общо;BG324;2005Q3;43.3;
Общо;BG324;2005Q4;44.2;
Общо;BG324;2006Q1;41.2;
Общо;BG324;2006Q2;43.8;
Общо;BG324;2006Q3;45.4;
Общо;BG324;2006Q4;44.4;
Общо;BG324;2007Q1;41.6;
Общо;BG324;2007Q2;43.7;
Общо;BG324;2007Q3;46.1;
Общо;BG324;2007Q4;40.8;
Общо;BG324;2008Q1;46.3;
Общо;BG324;2008Q2;49.7;
Общо;BG324;2008Q3;46.2;
Общо;BG324;2008Q4;45.9;
Общо;BG324;2009Q1;44.9;
Общо;BG324;2009Q2;45.0;
Общо;BG324;2009Q3;46.7;
Общо;BG324;2009Q4;45.7;
Общо;BG324;2010Q1;37.6;
Общо;BG324;2010Q2;42.7;
Общо;BG324;2010Q3;44.6;
Общо;BG324;2010Q4;42.7;
Общо;BG324;2011Q1;44.1;
Общо;BG324;2011Q2;44.2;
Общо;BG324;2011Q3;41.8;
Общо;BG324;2011Q4;45.0;
Общо;BG324;2012Q1;45.6;
Общо;BG324;2012Q2;42.2;
Общо;BG324;2012Q3;41.2;
Общо;BG324;2012Q4;42.7;
Общо;BG324;2013Q1;41.6;
Общо;BG324;2013Q2;41.5;
Общо;BG324;2013Q3;41.1;
Общо;BG324;2013Q4;42.5;
Общо;BG324;2014Q1;41.7;
Общо;BG324;2014Q2;44.2;
Общо;BG324;2014Q3;42.8;
Общо;BG324;2014Q4;42.4;
Общо;BG324;2015Q1;42.4;
Общо;BG324;2015Q2;47.1;
Общо;BG324;2015Q3;46.6;
Общо;BG324;2015Q4;42.5;
Общо;BG324;2016Q1;43.0;
Общо;BG324;2016Q2;46.7;
Общо;BG324;2016Q3;43.8;
Общо;BG324;2016Q4;42.2;
Общо;BG324;2017Q1;44.4;
Общо;BG324;2017Q2;45.1;
Общо;BG324;2017Q3;46.5;
Общо;BG324;2017Q4;45.3;
Общо;BG324;2018Q1;42.2;
Общо;BG324;2018Q2;42.9;
Общо;BG324;2018Q3;43.8;
Общо;BG324;2018Q4;41.5;
Общо;BG324;2019Q1;41.5;
Общо;BG324;2019Q2;43.2;
Общо;BG324;2019Q3;48.4;
Общо;BG323;2003Q1;85.4;
Общо;BG323;2003Q2;91.3;
Общо;BG323;2003Q3;92.8;
Общо;BG323;2003Q4;90.7;
Общо;BG323;2004Q1;88.7;
Общо;BG323;2004Q2;95.5;
Общо;BG323;2004Q3;95.7;
Общо;BG323;2004Q4;93.2;
Общо;BG323;2005Q1;95.7;
Общо;BG323;2005Q2;97.1;
Общо;BG323;2005Q3;103.7;
Общо;BG323;2005Q4;101.1;
Общо;BG323;2006Q1;96.7;
Общо;BG323;2006Q2;104.8;
Общо;BG323;2006Q3;101.7;
Общо;BG323;2006Q4;96.9;
Общо;BG323;2007Q1;103.1;
Общо;BG323;2007Q2;110.3;
Общо;BG323;2007Q3;108.2;
Общо;BG323;2007Q4;99.9;
Общо;BG323;2008Q1;100.7;
Общо;BG323;2008Q2;104.3;
Общо;BG323;2008Q3;109.7;
Общо;BG323;2008Q4;110.0;
Общо;BG323;2009Q1;108.9;
Общо;BG323;2009Q2;112.3;
Общо;BG323;2009Q3;114.5;
Общо;BG323;2009Q4;110.4;
Общо;BG323;2010Q1;101.1;
Общо;BG323;2010Q2;103.6;
Общо;BG323;2010Q3;104.6;
Общо;BG323;2010Q4;99.7;
Общо;BG323;2011Q1;94.2;
Общо;BG323;2011Q2;92.2;
Общо;BG323;2011Q3;93.9;
Общо;BG323;2011Q4;92.4;
Общо;BG323;2012Q1;88.3;
Общо;BG323;2012Q2;90.6;
Общо;BG323;2012Q3;94.2;
Общо;BG323;2012Q4;90.5;
Общо;BG323;2013Q1;88.3;
Общо;BG323;2013Q2;89.6;
Общо;BG323;2013Q3;91.3;
Общо;BG323;2013Q4;88.3;
Общо;BG323;2014Q1;87.0;
Общо;BG323;2014Q2;86.1;
Общо;BG323;2014Q3;86.0;
Общо;BG323;2014Q4;86.6;
Общо;BG323;2015Q1;85.8;
Общо;BG323;2015Q2;88.1;
Общо;BG323;2015Q3;94.2;
Общо;BG323;2015Q4;92.2;
Общо;BG323;2016Q1;87.3;
Общо;BG323;2016Q2;91.5;
Общо;BG323;2016Q3;96.6;
Общо;BG323;2016Q4;92.4;
Общо;BG323;2017Q1;91.8;
Общо;BG323;2017Q2;94.4;
Общо;BG323;2017Q3;98.9;
Общо;BG323;2017Q4;96.5;
Общо;BG323;2018Q1;96.5;
Общо;BG323;2018Q2;99.3;
Общо;BG323;2018Q3;100.2;
Общо;BG323;2018Q4;98.0;
Общо;BG323;2019Q1;98.6;
Общо;BG323;2019Q2;99.6;
Общо;BG323;2019Q3;100.4;
Общо;BG325;2003Q1;40.4;
Общо;BG325;2003Q2;43.5;
Общо;BG325;2003Q3;44.8;
Общо;BG325;2003Q4;47.7;
Общо;BG325;2004Q1;46.1;
Общо;BG325;2004Q2;50.3;
Общо;BG325;2004Q3;53.8;
Общо;BG325;2004Q4;46.3;
Общо;BG325;2005Q1;44.3;
Общо;BG325;2005Q2;51.2;
Общо;BG325;2005Q3;55.5;
Общо;BG325;2005Q4;47.6;
Общо;BG325;2006Q1;46.0;
Общо;BG325;2006Q2;47.8;
Общо;BG325;2006Q3;47.5;
Общо;BG325;2006Q4;43.0;
Общо;BG325;2007Q1;48.6;
Общо;BG325;2007Q2;53.7;
Общо;BG325;2007Q3;48.2;
Общо;BG325;2007Q4;47.3;
Общо;BG325;2008Q1;48.3;
Общо;BG325;2008Q2;52.5;
Общо;BG325;2008Q3;49.8;
Общо;BG325;2008Q4;50.0;
Общо;BG325;2009Q1;49.6;
Общо;BG325;2009Q2;49.8;
Общо;BG325;2009Q3;47.8;
Общо;BG325;2009Q4;47.7;
Общо;BG325;2010Q1;43.2;
Общо;BG325;2010Q2;40.8;
Общо;BG325;2010Q3;42.8;
Общо;BG325;2010Q4;41.2;
Общо;BG325;2011Q1;40.0;
Общо;BG325;2011Q2;42.1;
Общо;BG325;2011Q3;41.1;
Общо;BG325;2011Q4;39.1;
Общо;BG325;2012Q1;37.8;
Общо;BG325;2012Q2;41.9;
Общо;BG325;2012Q3;42.4;
Общо;BG325;2012Q4;38.6;
Общо;BG325;2013Q1;37.6;
Общо;BG325;2013Q2;40.3;
Общо;BG325;2013Q3;38.6;
Общо;BG325;2013Q4;33.0;
Общо;BG325;2014Q1;34.8;
Общо;BG325;2014Q2;39.7;
Общо;BG325;2014Q3;40.9;
Общо;BG325;2014Q4;37.6;
Общо;BG325;2015Q1;32.8;
Общо;BG325;2015Q2;37.0;
Общо;BG325;2015Q3;41.1;
Общо;BG325;2015Q4;36.2;
Общо;BG325;2016Q1;35.6;
Общо;BG325;2016Q2;41.4;
Общо;BG325;2016Q3;39.3;
Общо;BG325;2016Q4;35.6;
Общо;BG325;2017Q1;36.8;
Общо;BG325;2017Q2;43.1;
Общо;BG325;2017Q3;43.9;
Общо;BG325;2017Q4;40.3;
Общо;BG325;2018Q1;41.0;
Общо;BG325;2018Q2;44.7;
Общо;BG325;2018Q3;44.6;
Общо;BG325;2018Q4;39.7;
Общо;BG325;2019Q1;39.9;
Общо;BG325;2019Q2;43.3;
Общо;BG325;2019Q3;42.5;
Общо;BG331;2003Q1;160.8;
Общо;BG331;2003Q2;188.0;
Общо;BG331;2003Q3;192.7;
Общо;BG331;2003Q4;177.4;
Общо;BG331;2004Q1;177.0;
Общо;BG331;2004Q2;185.6;
Общо;BG331;2004Q3;194.2;
Общо;BG331;2004Q4;195.2;
Общо;BG331;2005Q1;190.2;
Общо;BG331;2005Q2;198.0;
Общо;BG331;2005Q3;207.7;
Общо;BG331;2005Q4;200.6;
Общо;BG331;2006Q1;195.1;
Общо;BG331;2006Q2;209.2;
Общо;BG331;2006Q3;212.0;
Общо;BG331;2006Q4;201.9;
Общо;BG331;2007Q1;200.9;
Общо;BG331;2007Q2;204.8;
Общо;BG331;2007Q3;213.4;
Общо;BG331;2007Q4;215.5;
Общо;BG331;2008Q1;215.7;
Общо;BG331;2008Q2;210.5;
Общо;BG331;2008Q3;218.2;
Общо;BG331;2008Q4;220.1;
Общо;BG331;2009Q1;217.1;
Общо;BG331;2009Q2;212.5;
Общо;BG331;2009Q3;207.9;
Общо;BG331;2009Q4;200.7;
Общо;BG331;2010Q1;195.5;
Общо;BG331;2010Q2;197.0;
Общо;BG331;2010Q3;207.3;
Общо;BG331;2010Q4;200.3;
Общо;BG331;2011Q1;183.9;
Общо;BG331;2011Q2;185.7;
Общо;BG331;2011Q3;195.7;
Общо;BG331;2011Q4;191.0;
Общо;BG331;2012Q1;171.9;
Общо;BG331;2012Q2;172.6;
Общо;BG331;2012Q3;187.7;
Общо;BG331;2012Q4;182.7;
Общо;BG331;2013Q1;180.7;
Общо;BG331;2013Q2;190.4;
Общо;BG331;2013Q3;198.4;
Общо;BG331;2013Q4;187.1;
Общо;BG331;2014Q1;181.0;
Общо;BG331;2014Q2;192.4;
Общо;BG331;2014Q3;218.2;
Общо;BG331;2014Q4;211.3;
Общо;BG331;2015Q1;209.7;
Общо;BG331;2015Q2;222.3;
Общо;BG331;2015Q3;233.5;
Общо;BG331;2015Q4;219.1;
Общо;BG331;2016Q1;209.0;
Общо;BG331;2016Q2;220.4;
Общо;BG331;2016Q3;217.8;
Общо;BG331;2016Q4;201.6;
Общо;BG331;2017Q1;209.3;
Общо;BG331;2017Q2;215.4;
Общо;BG331;2017Q3;215.5;
Общо;BG331;2017Q4;203.9;
Общо;BG331;2018Q1;201.7;
Общо;BG331;2018Q2;210.2;
Общо;BG331;2018Q3;216.5;
Общо;BG331;2018Q4;209.3;
Общо;BG331;2019Q1;204.8;
Общо;BG331;2019Q2;211.3;
