"oblast","ikonaktiwni","regbezr","postypilinarab","regbezrdo29","regbezrnad1g","zaqwenimesta","swobodnimesta","bezrzamqsto","rawnishtenabezr","period"
"Пазарджик","115297","9471","543","1271","3808","918","914","6",8.21,"201808"
"Перник","60837","2680","335","357","612","356","256","6",4.41,"201808"
"Плевен","107641","9636","811","1263","4063","802","1667","5",8.95,"201808"
"Пловдив","302681","13861","1055","2306","3241","2163","2085","4",4.58,"201808"
"Разград","52154","4980","390","503","2490","336","518","7",9.55,"201808"
"Русе","102880","5606","467","647","1975","702","1488","3",5.45,"201808"
"Силистра","45518","5097","422","597","2451","285","775","5",11.2,"201808"
"Сливен","78097","7254","530","1023","3156","451","701","7",9.29,"201808"
"Смолян","58440","5225","419","432","1857","643","630","5",8.94,"201808"
"Софийска","109181","6951","648","1194","2214","1094","927","4",6.37,"201808"
"гр. София","665475","12575","1838","1443","323","3706","4421","2",1.89,"201808"
"Стара Загора","147697","6445","631","1112","1393","860","982","4",4.36,"201808"
"Търговище","49168","4768","407","499","2309","325","409","6",9.7,"201808"
"Хасково","104465","6485","415","840","1554","471","567","7",6.21,"201808"
"Шумен","76138","7209","507","885","3424","913","1296","5",9.47,"201808"
"Ямбол","55779","2880","290","344","858","415","567","4",5.16,"201808"
"Благоевград","151333","14138","984","1867","4672","1312","2064","10",9.34,"201809"
"Бургас","188448","6254","627","901","1023","1178","1208","9",3.32,"201809"
"Варна","222697","6917","970","909","1367","767","1781","9",3.11,"201809"
"Велико Търново","108453","5504","876","730","1330","1008","994","8",5.08,"201809"
"Видин","37828","5489","238","726","2668","264","662","16",14.51,"201809"
"Враца","74912","8945","623","1309","3989","727","1554","16",11.94,"201809"
"Габрово","54178","1891","290","235","240","388","325","6",3.49,"201809"
"Добрич","79873","3270","511","363","703","538","378","12",4.09,"201809"
"Кърджали","60746","5440","569","480","1509","606","709","12",8.96,"201809"
"Кюстендил","56911","4552","582","658","1371","871","1174","9",8,"201809"
"Ловеч","55868","5032","519","713","1976","546","778","11",9.01,"201809"
"Монтана","60045","6997","433","969","3382","465","719","28",11.65,"201809"
"Пазарджик","115297","9431","631","1273","3735","927","1173","15",8.18,"201809"
"Перник","60837","2645","329","369","577","369","356","18",4.35,"201809"
"Плевен","107641","9537","918","1248","3993","883","1509","7",8.86,"201809"
"Пловдив","302681","13596","1283","2199","3196","2234","2093","9",4.49,"201809"
"Разград","52154","4993","436","520","2430","394","571","18",9.57,"201809"
"Русе","102880","5574","464","656","1939","745","1409","4",5.42,"201809"
"Силистра","45518","4987","454","590","2380","497","931","12",10.96,"201809"
"Сливен","78097","7041","654","1033","2858","482","772","13",9.02,"201809"
"Смолян","58440","5309","527","445","1817","759","788","13",9.08,"201809"
"Софийска","109181","6689","793","1132","2076","979","935","6",6.13,"201809"
"гр. София","665475","12216","2030","1396","321","2577","3981","3",1.84,"201809"
"Стара Загора","147697","6252","718","1060","1289","865","1044","10",4.23,"201809"
"Търговище","49168","4812","408","478","2228","399","449","20",9.79,"201809"
"Хасково","104465","6307","591","813","1449","490","375","16",6.04,"201809"
"Шумен","76138","7179","561","908","3319","653","1431","22",9.43,"201809"
"Ямбол","55779","2849","261","346","854","286","335","17",5.11,"201809"
"Благоевград","151333","14852","1212","2110","4417","1512","2447","5",9.81,"201810"
"Бургас","188448","9310","756","1279","1015","670","871","6",4.94,"201810"
"Варна","222697","8134","1025","1155","1262","791","2014","4",3.65,"201810"
"Велико Търново","108453","5626","834","797","1260","680","945","4",5.19,"201810"
"Видин","37828","5665","240","748","2677","155","672","8",14.98,"201810"
"Враца","74912","9071","497","1326","3955","402","1293","5",12.11,"201810"
"Габрово","54178","2014","287","287","228","308","226","4",3.72,"201810"
"Добрич","79873","4193","456","502","709","376","461","7",5.25,"201810"
"Кърджали","60746","5665","343","534","1477","407","940","6",9.33,"201810"
"Кюстендил","56911","4701","594","723","1367","528","1103","3",8.26,"201810"
"Ловеч","55868","5191","467","782","1941","378","740","5",9.29,"201810"
"Монтана","60045","7164","361","1023","3326","`","683","8",11.93,"201810"
"Пазарджик","115297","9790","884","1388","3643","734","950","6",8.49,"201810"
"Перник","60837","2744","285","368","561","204","355","6",4.51,"201810"
"Плевен","107641","9703","905","1310","3933","773","1540","5",9.01,"201810"
"Пловдив","302681","13720","1611","2284","3085","1726","2113","4",4.53,"201810"
"Разград","52154","5064","404","558","2357","294","542","7",9.71,"201810"
"Русе","102880","5648","541","714","1849","638","1592","3",5.49,"201810"
"Силистра","45518","5101","459","640","2300","820","899","3",11.21,"201810"
"Сливен","78097","7320","498","1097","2742","328","739","8",9.37,"201810"
"Смолян","58440","5670","587","499","1791","588","831","5",9.7,"201810"
"Софийска","109181","6574","867","1102","1904","752","762","5",6.02,"201810"
"гр. София","665475","12279","2028","1455","325","3596","3555","2",1.85,"201810"
"Стара Загора","147697","6391","752","1086","1229","786","1096","4",4.33,"201810"
"Търговище","49168","4947","408","504","2142","195","399","9",10.06,"201810"
"Хасково","104465","6521","522","876","1408","428","573","9",6.24,"201810"
"Шумен","76138","7318","600","956","3199","334","1369","5",9.61,"201810"
"Ямбол","55779","3123","320","419","835","234","267","7",5.6,"201810"
"Благоевград","151333","15281","1083","2220","4396","1009","2383","5",10.1,"201811"
"Бургас","188448","10438","960","1384","950","763","872","7",5.54,"201811"
"Варна","222697","8715","1075","1267","1176","676","1966","4",3.91,"201811"
"Велико Търново","108453","5881","705","839","1234","453","628","5",5.42,"201811"
"Видин","37828","5666","311","781","2592","124","647","8",14.98,"201811"
"Враца","74912","9090","498","1339","3950","379","1308","6",12.13,"201811"
"Габрово","54178","2089","271","316","231","275","264","5",3.86,"201811"
"Добрич","79873","4809","471","565","661","261","412","8",6.02,"201811"
"Кърджали","60746","5630","542","543","1356","378","772","5",9.27,"201811"
"Кюстендил","56911","4617","740","739","1267","328","1042","4",8.11,"201811"
"Ловеч","55868","5140","527","810","1898","278","530","6",9.2,"201811"
"Монтана","60045","7260","413","1053","3308","284","865","8",12.09,"201811"
"Пазарджик","115297","10152","689","1464","3626","475","954","8",8.81,"201811"
"Перник","60837","2762","301","364","571","144","325","7",4.54,"201811"
"Плевен","107641","10047","766","1396","3932","507","1432","5",9.33,"201811"
"Пловдив","302681","13642","1648","2257","3056","1057","1597","5",4.51,"201811"
"Разград","52154","5183","360","573","2291","221","507","8",9.94,"201811"
"Русе","102880","5755","534","708","1866","562","1542","3",5.59,"201811"
"Силистра","45518","5226","297","644","2325","141","839","5",11.48,"201811"
"Сливен","78097","7460","457","1203","2694","263","636","8",9.55,"201811"
"Смолян","58440","5825","621","542","1736","454","781","5",9.97,"201811"
"Софийска","109181","6506","743","1048","1820","672","649","5",5.96,"201811"
"гр. София","665475","12127","1975","1438","325","3004","3102","2",1.82,"201811"
"Стара Загора","147697","6160","832","1072","1166","705","1000","4",4.17,"201811"
"Търговище","49168","5042","391","528","2087","278","371","8",10.25,"201811"
"Хасково","104465","6633","522","966","1439","495","671","7",6.35,"201811"
"Шумен","76138","7305","623","994","3076","183","1040","5",9.59,"201811"
"Ямбол","55779","3342","235","460","835","158","204","9",5.99,"201811"
"Благоевград","151333","15220","1142","2208","4431","835","1790","10",10.06,"201812"
"Бургас","188448","10688","791","1421","879","394","487","9",5.67,"201812"
"Варна","222697","9199","654","1326","1092","534","1787","9",4.13,"201812"
"Велико Търново","108453","6164","647","875","1214","438","405","8",5.68,"201812"
"Видин","37828","5656","328","787","2558","133","435","16",14.95,"201812"
"Враца","74912","9061","512","1318","3889","191","1085","16",12.1,"201812"
"Габрово","54178","2063","226","311","221","190","165","6",3.81,"201812"
"Добрич","79873","5213","427","582","633","192","364","12",6.53,"201812"
"Кърджали","60746","5745","351","548","1243","242","557","12",9.46,"201812"
"Кюстендил","56911","4611","446","729","1234","243","855","9",8.1,"201812"
"Ловеч","55868","5260","393","794","1885","189","342","11",9.42,"201812"
"Монтана","60045","7352","441","1039","3211","129","596","28",12.24,"201812"
"Пазарджик","115297","10500","585","1484","3656","209","626","15",9.11,"201812"
"Перник","60837","2764","251","352","532","138","265","18",4.54,"201812"
"Плевен","107641","10296","664","1436","3870","188","1001","7",9.57,"201812"
"Пловдив","302681","13818","1276","2238","2959","723","1066","9",4.57,"201812"
"Разград","52154","5395","320","609","2273","147","350","18",10.34,"201812"
"Русе","102880","5865","464","706","1867","260","1058","4",5.7,"201812"
"Силистра","45518","5552","292","675","2329","216","667","12",12.2,"201812"
"Сливен","78097","7550","341","1207","2642","182","458","13",9.67,"201812"
"Смолян","58440","5671","765","538","1661","483","442","13",9.7,"201812"
"Софийска","109181","6496","588","1054","1767","627","434","6",5.95,"201812"
"гр. София","665475","12101","1637","1415","325","1783","2277","3",1.82,"201812"
"Стара Загора","147697","6134","562","1081","1107","375","1011","10",4.15,"201812"
"Търговище","49168","5293","217","565","2057","144","245","20",10.77,"201812"
"Хасково","104465","6754","438","968","1471","299","508","16",6.47,"201812"
"Шумен","76138","7588","360","970","3038","130","809","22",9.97,"201812"
"Ямбол","55779","3457","204","486","826","94","130","17",6.2,"201812"
