"oblast","ikonaktiwni","regbezr","postypilinarab","regbezrdo29","regbezrnad1g","zaqwenimesta","swobodnimesta","bezrzamqsto","rawnishtenabezr","period"
"Видин","37828","7233","203","1088","4203","147","330","15",19.12,"201612"
"Враца","74912","11807","393","1865","6352","311","578","12",15.76,"201612"
"Габрово","54178","2530","231","355","491","175","314","5",4.67,"201612"
"Добрич","79873","7468","379","883","1992","121","348","14",9.35,"201612"
"Кърджали","60746","7012","193","734","3032","128","375","7",11.54,"201612"
"Кюстендил","56911","5316","406","887","1841","267","343","8",9.34,"201612"
"Ловеч","55868","6951","434","1076","3225","190","373","11",12.44,"201612"
"Монтана","60045","9929","340","1505","5608","149","157","29",16.54,"201612"
"Пазарджик","115297","13191","432","1896","6021","284","479","15",11.44,"201612"
"Перник","60837","3624","337","481","1008","134","87","18",5.96,"201612"
"Плевен","107641","13314","483","1803","6342","167","1532","7",12.37,"201612"
"Пловдив","302681","17588","1062","3165","5427","822","1157","8",5.81,"201612"
"Разград","52154","6681","221","696","3273","101","337","15",12.81,"201612"
"Русе","102880","6933","261","864","2637","621","1274","4",6.74,"201612"
"Силистра","45518","6533","226","775","2987","105","433","11",14.35,"201612"
"Сливен","78097","10450","284","1733","5268","173","491","15",13.38,"201612"
"Смолян","58440","7486","569","804","2951","406","171","14",12.81,"201612"
"Софийска","109181","9691","712","1634","4335","708","950","5",8.88,"201612"
"гр. София","665475","15246","1824","2113","866","1588","3051","3",2.29,"201612"
"Стара Загора","147697","8877","446","1491","2787","402","441","7",6.01,"201612"
"Търговище","49168","7301","195","758","3979","304","185","14",14.85,"201612"
"Хасково","104465","9084","310","1236","2688","98","360","16",8.7,"201612"
"Шумен","76138","10302","311","1308","5233","187","277","13",13.53,"201612"
"Ямбол","55779","5172","184","753","2256","177","174","14",9.27,"201612"
"Благоевград","151333","16895","843","2761","6506","704","1337","10",11.16,"201701"
"Бургас","188448","13902","631","2009","1967","569","686","9",7.38,"201701"
"Варна","222697","13335","880","2006","3028","610","1037","9",5.99,"201701"
"Велико Търново","108453","8936","482","1205","2705","366","547","8",8.24,"201701"
"Видин","37828","7348","192","1108","4242","160","194","16",19.42,"201701"
"Враца","74912","12237","341","1952","6352","256","318","16",16.34,"201701"
"Габрово","54178","2710","211","398","491","167","65","6",5,"201701"
"Добрич","79873","7811","386","880","1959","369","258","12",9.78,"201701"
"Кърджали","60746","7249","238","764","3092","285","434","12",11.93,"201701"
"Кюстендил","56911","5582","459","961","1878","386","440","9",9.81,"201701"
"Ловеч","55868","7229","335","1123","3227","312","445","11",12.94,"201701"
"Монтана","60045","10130","274","1565","5622","228","189","28",16.87,"201701"
"Пазарджик","115297","13650","559","2012","6004","481","407","15",11.84,"201701"
"Перник","60837","3763","263","525","1014","146","95","18",6.19,"201701"
"Плевен","107641","13560","532","1824","6363","473","1773","7",12.6,"201701"
"Пловдив","302681","18327","1065","3281","5405","1153","1299","9",6.05,"201701"
"Разград","52154","6926","185","747","3262","67","98","18",13.28,"201701"
"Русе","102880","7214","328","907","2647","565","1520","4",7.01,"201701"
"Силистра","45518","6891","210","827","3045","161","449","12",15.14,"201701"
"Сливен","78097","10903","272","1862","5348","430","651","13",13.96,"201701"
"Смолян","58440","7590","444","821","2996","480","300","13",12.99,"201701"
"Софийска","109181","9794","637","1705","4327","731","927","6",8.97,"201701"
"гр. София","665475","15612","1980","2210","851","2577","3981","3",2.35,"201701"
"Стара Загора","147697","9182","510","1548","2784","551","541","10",6.22,"201701"
"Търговище","49168","7547","261","790","4009","214","181","20",15.35,"201701"
"Хасково","104465","9380","343","1281","2724","264","376","16",8.98,"201701"
"Шумен","76138","10596","348","1358","5204","230","181","22",13.92,"201701"
"Ямбол","55779","5450","165","807","2271","185","372","17",9.77,"201701"
"Благоевград","151333","16534","1064","2651","6348","1188","1684","10",10.93,"201702"
"Бургас","188448","13677","965","1980","1916","1575","1456","9",7.26,"201702"
"Варна","222697","13358","905","1982","3062","1653","2045","9",6,"201702"
"Велико Търново","108453","8941","668","1209","2682","952","1018","8",8.24,"201702"
"Видин","37828","7298","241","1094","4232","433","442","16",19.29,"201702"
"Враца","74912","12233","444","1958","6254","456","453","16",16.33,"201702"
"Габрово","54178","2705","296","392","498","284","131","6",4.99,"201702"
"Добрич","79873","7798","401","892","1942","612","556","12",9.76,"201702"
"Кърджали","60746","7188","380","743","3106","426","607","12",11.83,"201702"
"Кюстендил","56911","5693","586","1039","1877","777","768","9",10,"201702"
"Ловеч","55868","7182","507","1136","3179","454","620","11",12.86,"201702"
"Монтана","60045","10158","386","1605","5579","514","453","28",16.92,"201702"
"Пазарджик","115297","13491","732","1961","5963","682","636","15",11.7,"201702"
"Перник","60837","3777","305","531","1011","284","231","18",6.21,"201702"
"Плевен","107641","13533","678","1844","6303","805","2105","7",12.57,"201702"
"Пловдив","302681","18475","1216","3327","5300","1809","1837","9",6.1,"201702"
"Разград","52154","6938","328","749","3277","207","101","18",13.3,"201702"
"Русе","102880","7304","398","927","2664","640","1585","4",7.1,"201702"
"Силистра","45518","6877","319","837","3102","260","488","12",15.11,"201702"
"Сливен","78097","11051","491","1923","5302","623","487","13",14.15,"201702"
"Смолян","58440","7527","500","780","3011","558","348","13",12.88,"201702"
"Софийска","109181","9936","612","1788","4333","800","922","6",9.1,"201702"
"гр. София","665475","15656","2164","2264","854","2577","3981","3",2.35,"201702"
"Стара Загора","147697","9136","725","1524","2802","830","687","10",6.19,"201702"
"Търговище","49168","7567","322","762","4047","262","194","20",15.39,"201702"
"Хасково","104465","9429","452","1273","2766","623","495","16",9.03,"201702"
"Шумен","76138","10626","430","1393","5194","453","406","22",13.96,"201702"
"Ямбол","55779","5554","276","839","2274","352","412","17",9.96,"201702"
"Благоевград","151333","16313","1083","2636","6256","1221","1984","6",10.78,"201703"
"Бургас","188448","12129","1887","1724","1955","4681","4127","2",6.44,"201703"
"Варна","222697","12748","1450","1874","2994","2559","3034","3",5.72,"201703"
"Велико Търново","108453","8319","1213","1124","2703","1065","1192","5",7.67,"201703"
"Видин","37828","7079","382","1057","4198","389","549","9",18.71,"201703"
"Враца","74912","12171","509","2038","6345","520","629","14",16.25,"201703"
"Габрово","54178","2703","339","378","516","317","276","7",4.99,"201703"
"Добрич","79873","7157","854","805","1911","1167","1073","5",8.96,"201703"
"Кърджали","60746","7152","415","722","3263","342","669","8",11.77,"201703"
"Кюстендил","56911","5766","578","1074","1913","655","1023","5",10.13,"201703"
"Ловеч","55868","7164","561","1126","3149","499","706","7",12.82,"201703"
"Монтана","60045","9997","487","1568","5670","598","643","10",16.65,"201703"
"Пазарджик","115297","13062","833","1851","5954","1219","1103","8",11.33,"201703"
"Перник","60837","3869","295","570","1107","258","320","9",6.36,"201703"
"Плевен","107641","13250","1060","1916","6434","1064","1736","5",12.31,"201703"
"Пловдив","302681","18151","1842","3307","5273","2205","2218","5",6,"201703"
"Разград","52154","6651","536","744","3408","405","214","15",12.75,"201703"
"Русе","102880","6935","722","912","2661","896","1749","3",6.74,"201703"
"Силистра","45518","6573","633","857","3156","597","593","7",14.44,"201703"
"Сливен","78097","10760","679","1852","5134","528","545","12",13.78,"201703"
"Смолян","58440","7311","663","677","3003","820","660","7",12.51,"201703"
"Софийска","109181","9781","739","1774","4181","868","1055","6",8.96,"201703"
"гр. София","665475","15396","2392","2123","828","3028","3607","3",2.31,"201703"
"Стара Загора","147697","8894","848","1525","2775","862","870","7",6.02,"201703"
"Търговище","49168","7335","510","774","4067","416","271","13",14.92,"201703"
"Хасково","104465","9299","646","1284","2797","528","714","10",8.9,"201703"
"Шумен","76138","10364","685","1372","5273","501","501","13",13.61,"201703"
"Ямбол","55779","5442","421","830","2272","471","562","7",9.76,"201703"
"Благоевград","151333","16021","1270","2507","6181","1119","2068","6",10.59,"201704"
