oblast,period,ikonaktiwni,regbezr,pod29bezr
Смолян,201011,70648,12109,1704
гр. София,201011,551815,19450,3086
Софийска,201011,125456,13440,3018
Стара Загора,201011,172917,11837,2684
Търговище,201011,66835,10134,1281
Хасково,201011,125042,11142,2253
Шумен,201011,95785,13360,2292
Ямбол,201011,70924,7413,1619
Общо за страната,201012,3704336,342419,61616
Благоевград,201012,170689,18961,3344
Бургас,201012,201006,15204,2733
Варна,201012,218272,16243,3175
Велико Търново,201012,135465,11817,1852
Видин,201012,56478,7848,1464
Враца,201012,97742,12739,2216
Габрово,201012,66804,3999,530
Добрич,201012,105343,10492,1774
Кърджали,201012,82379,8295,1118
Кюстендил,201012,73521,7819,1520
Ловеч,201012,77600,9230,1488
Монтана,201012,79897,11718,2159
Пазарджик,201012,149030,17786,3541
Перник,201012,67851,5817,1058
Плевен,201012,148178,15978,2581
Пловдив,201012,329791,26397,5717
Разград,201012,73857,10260,1507
Русе,201012,121067,10570,1516
Силистра,201012,67108,8898,1341
Сливен,201012,102836,12281,2886
Смолян,201012,70648,12106,1718
гр. София,201012,551815,19391,3011
Софийска,201012,125456,13360,2967
Стара Загора,201012,172917,11986,2706
Търговище,201012,66835,10550,1351
Хасково,201012,125042,11260,2297
Шумен,201012,95785,13774,2388
Ямбол,201012,70924,7640,1658
Общо за страната,201101,3282740,362447,66957
Благоевград,201101,151333,19614,3616
Бургас,201101,188448,16651,3095
Варна,201101,222697,17794,3553
Велико Търново,201101,108453,12656,1961
Видин,201101,37828,7736,1480
Враца,201101,74912,13506,2444
Габрово,201101,54178,4393,622
Добрич,201101,79873,11340,1963
Кърджали,201101,60746,9004,1297
Кюстендил,201101,56911,8006,1590
Ловеч,201101,55868,9723,1662
Монтана,201101,60045,12238,2332
Пазарджик,201101,115297,18371,3707
Перник,201101,60837,6038,1106
Плевен,201101,107641,16845,2821
Пловдив,201101,302681,28058,6223
Разград,201101,52154,10670,1602
Русе,201101,102880,11275,1747
Силистра,201101,45518,9370,1423
Сливен,201101,78097,12847,3088
Смолян,201101,58440,12651,1767
гр. София,201101,665475,21009,3348
Софийска,201101,109181,14022,3158
Стара Загора,201101,147697,13231,3105
Търговище,201101,49168,11089,1439
Хасково,201101,104465,11969,2512
Шумен,201101,76138,14167,2485
Ямбол,201101,55779,8174,1811
Общо за страната,201102,3282740,362370,67745
Благоевград,201102,151333,19541,3651
Бургас,201102,188448,16475,3066
Варна,201102,222697,17706,3605
Велико Търново,201102,108453,12637,2001
Видин,201102,37828,7652,1495
Враца,201102,74912,13496,2481
Габрово,201102,54178,4410,634
Добрич,201102,79873,11244,1944
Кърджали,201102,60746,8992,1314
Кюстендил,201102,56911,7903,1587
Ловеч,201102,55868,9545,1658
Монтана,201102,60045,12186,2372
Пазарджик,201102,115297,18523,3838
Перник,201102,60837,5996,1121
Плевен,201102,107641,16759,2866
Пловдив,201102,302681,27929,6215
Разград,201102,52154,10630,1615
Русе,201102,102880,11368,1781
Силистра,201102,45518,9401,1461
Сливен,201102,78097,12978,3147
Смолян,201102,58440,12486,1756
гр. София,201102,665475,21454,3445
Софийска,201102,109181,14070,3230
Стара Загора,201102,147697,13339,3107
Търговище,201102,49168,11074,1477
Хасково,201102,104465,11986,2477
Шумен,201102,76138,14168,2497
Ямбол,201102,55779,8422,1904
Общо за страната,201103,3282740,352493,66721
Благоевград,201103,151333,19093,3602
Бургас,201103,188448,15698,2969
Варна,201103,222697,16820,3476
Велико Търново,201103,108453,12214,1948
Видин,201103,37828,7380,1489
Враца,201103,74912,13363,2466
Габрово,201103,54178,4312,611
Добрич,201103,79873,10641,1809
Кърджали,201103,60746,8822,1290
Кюстендил,201103,56911,7575,1554
Ловеч,201103,55868,9113,1634
Монтана,201103,60045,11984,2377
Пазарджик,201103,115297,18039,3772
Перник,201103,60837,5830,1101
Плевен,201103,107641,16065,2830
Пловдив,201103,302681,27547,6229
Разград,201103,52154,10260,1565
Русе,201103,102880,10952,1755
Силистра,201103,45518,9123,1470
Сливен,201103,78097,12567,3131
Смолян,201103,58440,12119,1673
гр. София,201103,665475,21572,3499
Софийска,201103,109181,14093,3300
Стара Загора,201103,147697,13134,3081
Търговище,201103,49168,10904,1461
Хасково,201103,104465,11605,2371
Шумен,201103,76138,13584,2400
Ямбол,201103,55779,8084,1858
Общо за страната,201104,3282740,344098,64245
