oblast,period,ikonaktiwni,regbezr,pod29bezr
Кърджали,201408,60746,9107,823
Кюстендил,201408,56911,7424,1295
Ловеч,201408,55868,9094,1580
Монтана,201408,60045,12730,2213
Пазарджик,201408,115297,17300,3045
Перник,201408,60837,6424,1034
Плевен,201408,107641,17233,2711
Пловдив,201408,302681,28027,5770
Разград,201408,52154,9004,1044
Русе,201408,102880,9167,1223
Силистра,201408,45518,8263,1074
Сливен,201408,78097,13966,3090
Смолян,201408,58440,10674,1018
гр. София,201408,665475,20311,3437
Софийска,201408,109181,14196,3061
Стара Загора,201408,147697,14449,2801
Търговище,201408,49168,8908,988
Хасково,201408,104465,12407,2003
Шумен,201408,76138,12896,1744
Ямбол,201408,55779,7515,1432
Общо за страната,201409,3282740,345375,59351
Благоевград,201409,151333,22421,4058
Бургас,201409,188448,12436,2221
Варна,201409,222697,14504,2587
Велико Търново,201409,108453,10323,1563
Видин,201409,37828,9032,1603
Враца,201409,74912,16161,3191
Габрово,201409,54178,3415,504
Добрич,201409,79873,8470,1209
Кърджали,201409,60746,9087,879
Кюстендил,201409,56911,7530,1383
Ловеч,201409,55868,9063,1583
Монтана,201409,60045,12935,2292
Пазарджик,201409,115297,17186,3040
Перник,201409,60837,6355,1073
Плевен,201409,107641,17626,2888
Пловдив,201409,302681,27592,5721
Разград,201409,52154,8876,1061
Русе,201409,102880,8968,1262
Силистра,201409,45518,8241,1116
Сливен,201409,78097,13962,3116
Смолян,201409,58440,11211,1175
гр. София,201409,665475,20113,3702
Софийска,201409,109181,14062,3041
Стара Загора,201409,147697,14197,2820
Търговище,201409,49168,8892,1030
Хасково,201409,104465,12421,2045
Шумен,201409,76138,12777,1756
Ямбол,201409,55779,7519,1432
За страната,201410,3282740,351446,60523
Благоевград,201410,151333,21995,3960
Бургас,201410,188448,15829,2878
Варна,201410,222697,16162,2925
Велико Търново,201410,108453,10277,1613
Видин,201410,37828,9095,1602
Враца,201410,74912,15957,3074
Габрово,201410,54178,3497,521
Добрич,201410,79873,9742,1478
Кърджали,201410,60746,8961,837
Кюстендил,201410,56911,7537,1388
Ловеч,201410,55868,8990,1550
Монтана,201410,60045,12819,2278
Пазарджик,201410,115297,17397,3095
Перник,201410,60837,6430,1090
Плевен,201410,107641,17481,2830
Пловдив,201410,302681,27657,5746
Разград,201410,52154,8774,1010
Русе,201410,102880,8885,1241
Силистра,201410,45518,8065,1084
Сливен,201410,78097,14062,3134
Смолян,201410,58440,11331,1215
гр. София,201410,665475,20395,3785
Софийска,201410,109181,14104,3051
Стара Загора,201410,147697,14020,2758
Търговище,201410,49168,8951,1033
Хасково,201410,104465,12253,2011
Шумен,201410,76138,13204,1910
Ямбол,201410,55779,7576,1426
За страната,201411,3282740,353604,60379
Благоевград,201411,151333,21883,3939
Бургас,201411,188448,16916,3044
Варна,201411,222697,16834,3031
Велико Търново,201411,108453,10827,1641
Видин,201411,37828,9119,1569
Враца,201411,74912,16017,3048
Габрово,201411,54178,3548,541
Добрич,201411,79873,10265,1587
Кърджали,201411,60746,9009,876
Кюстендил,201411,56911,7270,1309
Ловеч,201411,55868,9079,1550
Монтана,201411,60045,12839,2199
Пазарджик,201411,115297,17294,3103
Перник,201411,60837,6129,1040
Плевен,201411,107641,17668,2813
Пловдив,201411,302681,27593,5687
Разград,201411,52154,8721,1032
Русе,201411,102880,8844,1230
Силистра,201411,45518,8072,1081
Сливен,201411,78097,14264,3142
Смолян,201411,58440,11339,1204
гр. София,201411,665475,19940,3516
Софийска,201411,109181,13988,2992
Стара Загора,201411,147697,13928,2682
Търговище,201411,49168,8932,1043
Хасково,201411,104465,12407,2079
Шумен,201411,76138,13360,1997
Ямбол,201411,55779,7519,1404
За страната,201412,3282740,351051,58771
Благоевград,201412,151333,21523,3776
Бургас,201412,188448,16932,2978
Варна,201412,222697,16769,2935
Велико Търново,201412,108453,11195,1691
Видин,201412,37828,8825,1525
Враца,201412,74912,15654,2925
Габрово,201412,54178,3486,529
Добрич,201412,79873,10464,1565
Кърджали,201412,60746,9051,896
Кюстендил,201412,56911,7110,1257
Ловеч,201412,55868,9059,1506
Монтана,201412,60045,12584,2153
Пазарджик,201412,115297,17331,3050
Перник,201412,60837,5970,1016
Плевен,201412,107641,17645,2734
Пловдив,201412,302681,27281,5516
Разград,201412,52154,8966,1036
Русе,201412,102880,8976,1202
Силистра,201412,45518,8191,1061
Сливен,201412,78097,13978,3030
Смолян,201412,58440,10844,1161
гр. София,201412,665475,19707,3402
Софийска,201412,109181,13501,2828
Стара Загора,201412,147697,13809,2594
Търговище,201412,49168,9061,1008
Хасково,201412,104465,12368,2022
Шумен,201412,76138,13314,1975
Ямбол,201412,55779,7457,1400
За страната,201501,3282740,363964,59775
Благоевград,201501,151333,22001,3758
Бургас,201501,188448,17581,3089
Варна,201501,222697,17656,3010
Велико Търново,201501,108453,12026,1744
Видин,201501,37828,9189,1579
Враца,201501,74912,16267,2986
Габрово,201501,54178,3617,525
Добрич,201501,79873,10877,1566
Кърджали,201501,60746,9112,860
Кюстендил,201501,56911,7128,1258
Ловеч,201501,55868,9449,1554
Монтана,201501,60045,12881,2213
Пазарджик,201501,115297,17954,3117
Перник,201501,60837,6092,1006
Плевен,201501,107641,18444,2860
Пловдив,201501,302681,28235,5636
Разград,201501,52154,9441,1062
Русе,201501,102880,9363,1223
Силистра,201501,45518,8571,1082
Сливен,201501,78097,14496,3093
Смолян,201501,58440,11115,1176
гр. София,201501,665475,20278,3350
Софийска,201501,109181,13965,2853
Стара Загора,201501,147697,14108,2601
Търговище,201501,49168,9386,1013
Хасково,201501,104465,12799,2056
Шумен,201501,76138,13949,2030
Ямбол,201501,55779,7984,1475
За страната,201502,3282740,361176,59168
Благоевград,201502,151333,22040,3754
Бургас,201502,188448,17075,2973
Варна,201502,222697,17421,2993
Велико Търново,201502,108453,11882,1760
Видин,201502,37828,9173,1584
Враца,201502,74912,16074,2973
Габрово,201502,54178,3631,520
Добрич,201502,79873,10886,1564
Кърджали,201502,60746,9064,853
Кюстендил,201502,56911,7159,1233
Ловеч,201502,55868,9604,1573
Монтана,201502,60045,12886,2210
Пазарджик,201502,115297,17796,3098
Перник,201502,60837,6032,981
Плевен,201502,107641,18309,2816
Пловдив,201502,302681,27776,5505
Разград,201502,52154,9304,1059
Русе,201502,102880,9352,1249
Силистра,201502,45518,8504,1027
Сливен,201502,78097,14472,3116
Смолян,201502,58440,11080,1178
гр. София,201502,665475,20101,3223
Софийска,201502,109181,14078,2883
Стара Загора,201502,147697,13888,2552
Търговище,201502,49168,9268,998
Хасково,201502,104465,12655,2034
Шумен,201502,76138,13783,2006
Ямбол,201502,55779,7883,1453
За страната,201503,3282740,361511,58862
Благоевград,201503,151333,22417,3787
Бургас,201503,188448,16040,2722
Варна,201503,222697,17327,2886
Велико Търново,201503,108453,11660,1695
Видин,201503,37828,9392,1618
Враца,201503,74912,16586,3028
Габрово,201503,54178,3682,517
Добрич,201503,79873,10685,1455
Кърджали,201503,60746,8979,855
Кюстендил,201503,56911,7402,1298
Ловеч,201503,55868,9602,1577
Монтана,201503,60045,13229,2278
Пазарджик,201503,115297,17996,3094
Перник,201503,60837,6148,972
Плевен,201503,107641,18270,2831
Пловдив,201503,302681,27488,5415
Разград,201503,52154,9135,1045
Русе,201503,102880,9181,1242
Силистра,201503,45518,8401,1022
Сливен,201503,78097,14665,3143
Смолян,201503,58440,11462,1195
гр. София,201503,665475,19995,3214
Софийска,201503,109181,14346,2926
Стара Загора,201503,147697,13791,2573
Търговище,201503,49168,9276,1035
Хасково,201503,104465,12588,2022
Шумен,201503,76138,13872,1999
Ямбол,201503,55779,7896,1418
За страната,201504,3282740,350318,54924
Благоевград,201504,151333,22116,3585
Бургас,201504,188448,14293,2383
Варна,201504,222697,15657,2488
Велико Търново,201504,108453,11141,1566
Видин,201504,37828,9210,1501
Враца,201504,74912,16238,2806
Габрово,201504,54178,3566,481
Добрич,201504,79873,9815,1311
Кърджали,201504,60746,8806,822
Кюстендил,201504,56911,7228,1257
Ловеч,201504,55868,9418,1488
Монтана,201504,60045,13194,2193
Пазарджик,201504,115297,17697,2955
Перник,201504,60837,5969,901
Плевен,201504,107641,18030,2699
Пловдив,201504,302681,26812,5089
Разград,201504,52154,8964,970
Русе,201504,102880,8842,1128
Силистра,201504,45518,8089,939
Сливен,201504,78097,14232,2969
Смолян,201504,58440,11184,1078
гр. София,201504,665475,19595,2999
Софийска,201504,109181,14225,2880
Стара Загора,201504,147697,13483,2409
Търговище,201504,49168,8926,958
Хасково,201504,104465,12503,1882
Шумен,201504,76138,13453,1868
Ямбол,201504,55779,7632,1319
За страната,201505,3282740,331846,50630
Благоевград,201505,151333,21287,3328
Бургас,201505,188448,12335,1973
Варна,201505,222697,13997,2148
Велико Търново,201505,108453,10422,1391
Видин,201505,37828,8889,1449
Враца,201505,74912,15721,2648
Габрово,201505,54178,3499,466
Добрич,201505,79873,8785,1111
Кърджали,201505,60746,8505,766
Кюстендил,201505,56911,6905,1199
Ловеч,201505,55868,8955,1434
Монтана,201505,60045,12636,2040
Пазарджик,201505,115297,16717,2741
Перник,201505,60837,5705,837
Плевен,201505,107641,17016,2473
Пловдив,201505,302681,25545,4777
Разград,201505,52154,8496,861
Русе,201505,102880,8442,1066
Силистра,201505,45518,7545,830
Сливен,201505,78097,13753,2852
Смолян,201505,58440,10534,917
гр. София,201505,665475,18897,2840
Софийска,201505,109181,14053,2714
Стара Загора,201505,147697,12747,2208
Търговище,201505,49168,8483,863
Хасково,201505,104465,11755,1703
Шумен,201505,76138,12961,1749
Ямбол,201505,55779,7261,1246
За страната,201506,3282740,315701,47781
Благоевград,201506,151333,20239,3135
Бургас,201506,188448,10825,1691
Варна,201506,222697,12873,1906
Велико Търново,201506,108453,9718,1253
Видин,201506,37828,8442,1338
Враца,201506,74912,14571,2475
Габрово,201506,54178,3221,418
Добрич,201506,79873,7756,962
Кърджали,201506,60746,8363,714
Кюстендил,201506,56911,6339,1094
Ловеч,201506,55868,8412,1347
Монтана,201506,60045,12069,1992
Пазарджик,201506,115297,16177,2640
Перник,201506,60837,5615,828
Плевен,201506,107641,16114,2297
Пловдив,201506,302681,24995,4738
Разград,201506,52154,8082,801
Русе,201506,102880,8172,995
Силистра,201506,45518,7107,775
Сливен,201506,78097,13143,2660
Смолян,201506,58440,9895,853
гр. София,201506,665475,18842,2866
Софийска,201506,109181,13370,2566
Стара Загора,201506,147697,12549,2170
Търговище,201506,49168,8038,792
Хасково,201506,104465,11415,1641
Шумен,201506,76138,12368,1635
Ямбол,201506,55779,6991,1199
За страната,201507,3282740,309781,47354
Благоевград,201507,151333,19883,3168
Бургас,201507,188448,10474,1635
Варна,201507,222697,12469,1812
Велико Търново,201507,108453,9672,1307
Видин,201507,37828,8246,1310
Враца,201507,74912,14447,2465
Габрово,201507,54178,3146,433
Добрич,201507,79873,7282,887
Кърджали,201507,60746,8154,699
Кюстендил,201507,56911,6162,1114
Ловеч,201507,55868,8334,1342
Монтана,201507,60045,11703,1953
Пазарджик,201507,115297,15967,2620
Перник,201507,60837,5385,797
Плевен,201507,107641,15943,2284
Пловдив,201507,302681,24915,4722
Разград,201507,52154,8014,831
Русе,201507,102880,8169,998
Силистра,201507,45518,7039,839
Сливен,201507,78097,12549,2471
Смолян,201507,58440,9481,854
гр. София,201507,665475,18736,2861
Софийска,201507,109181,13104,2574
Стара Загора,201507,147697,12315,2142
Търговище,201507,49168,7902,830
Хасково,201507,104465,11318,1600
Шумен,201507,76138,12195,1653
Ямбол,201507,55779,6777,1153
За страната,201508,3282740,306821,46840
Благоевград,201508,151333,19829,3159
Бургас,201508,188448,10448,1670
Варна,201508,222697,12362,1807
Велико Търново,201508,108453,9465,1309
Видин,201508,37828,8172,1277
Враца,201508,74912,14242,2401
Габрово,201508,54178,3126,440
Добрич,201508,79873,7118,870
Кърджали,201508,60746,8127,710
Кюстендил,201508,56911,6141,1116
Ловеч,201508,55868,8264,1318
Монтана,201508,60045,11511,1888
Пазарджик,201508,115297,15804,2604
Перник,201508,60837,5337,783
Плевен,201508,107641,15633,2212
Пловдив,201508,302681,24570,4663
Разград,201508,52154,7927,871
Русе,201508,102880,8213,1007
Силистра,201508,45518,6928,855
Сливен,201508,78097,12387,2383
Смолян,201508,58440,9506,835
гр. София,201508,665475,18827,2838
Софийска,201508,109181,12934,2524
Стара Загора,201508,147697,12104,2094
Търговище,201508,49168,7891,850
Хасково,201508,104465,11248,1632
Шумен,201508,76138,12034,1615
Ямбол,201508,55779,6673,1109
За страната,201509,3282740,302775,46197
Благоевград,201509,151333,19740,3152
Бургас,201509,188448,11235,1880
Варна,201509,222697,12614,1868
Велико Търново,201509,108453,9210,1272
Видин,201509,37828,8162,1268
Враца,201509,74912,13872,2281
Габрово,201509,54178,3087,449
Добрич,201509,79873,7143,873
Кърджали,201509,60746,8033,722
Кюстендил,201509,56911,6094,1110
Ловеч,201509,55868,8220,1317
Монтана,201509,60045,11231,1787
Пазарджик,201509,115297,15565,2461
Перник,201509,60837,5213,767
Плевен,201509,107641,15417,2194
Пловдив,201509,302681,23767,4453
Разград,201509,52154,7673,840
Русе,201509,102880,8071,1035
Силистра,201509,45518,6708,833
Сливен,201509,78097,12231,2387
Смолян,201509,58440,9654,864
гр. София,201509,665475,18471,2852
Софийска,201509,109181,12645,2441
Стара Загора,201509,147697,11683,2054
Търговище,201509,49168,7728,779
Хасково,201509,104465,11013,1590
Шумен,201509,76138,11777,1592
Ямбол,201509,55779,6518,1076
За страната,201510,3282740,312915,48739
Благоевград,201510,151333,20076,3272
Бургас,201510,188448,14281,2329
Варна,201510,222697,14474,2291
Велико Търново,201510,108453,9346,1345
Видин,201510,37828,8420,1317
Враца,201510,74912,14127,2355
Габрово,201510,54178,3194,493
Добрич,201510,79873,8168,1080
Кърджали,201510,60746,8099,788
Кюстендил,201510,56911,6177,1128
Ловеч,201510,55868,8407,1365
Монтана,201510,60045,11391,1809
Пазарджик,201510,115297,15861,2504
Перник,201510,60837,5138,736
Плевен,201510,107641,15540,2278
Пловдив,201510,302681,23719,4420
Разград,201510,52154,7775,852
Русе,201510,102880,8219,1076
Силистра,201510,45518,6853,876
Сливен,201510,78097,12405,2480
Смолян,201510,58440,10078,988
гр. София,201510,665475,18694,3008
Софийска,201510,109181,12697,2437
Стара Загора,201510,147697,11901,2127
Търговище,201510,49168,8041,866
Хасково,201510,104465,11116,1707
Шумен,201510,76138,12033,1677
Ямбол,201510,55779,6685,1135
За страната,201511,3282740,324060,50007
Благоевград,201511,151333,20904,3448
Бургас,201511,188448,15561,2505
Варна,201511,222697,15559,2443
Велико Търново,201511,108453,9926,1416
Видин,201511,37828,8760,1389
Враца,201511,74912,14638,2420
Габрово,201511,54178,3278,487
Добрич,201511,79873,8910,1152
Кърджали,201511,60746,8287,810
Кюстендил,201511,56911,6401,1135
Ловеч,201511,55868,8725,1380
Монтана,201511,60045,11844,1860
Пазарджик,201511,115297,16405,2560
Перник,201511,60837,5136,709
Плевен,201511,107641,16236,2376
Пловдив,201511,302681,23680,4371
Разград,201511,52154,8097,896
Русе,201511,102880,8457,1087
Силистра,201511,45518,7198,921
Сливен,201511,78097,12855,2549
Смолян,201511,58440,10724,1068
гр. София,201511,665475,18530,2942
Софийска,201511,109181,12741,2431
Стара Загора,201511,147697,12207,2117
Търговище,201511,49168,8275,907
Хасково,201511,104465,11473,1758
Шумен,201511,76138,12363,1703
Ямбол,201511,55779,6890,1167
За страната,201512,3282740,328921,49886
Благоевград,201512,151333,20895,3371
Бургас,201512,188448,15970,2470
Варна,201512,222697,15982,2436
Велико Търново,201512,108453,10482,1450
Видин,201512,37828,8873,1384
Враца,201512,74912,14780,2429
Габрово,201512,54178,3232,485
Добрич,201512,79873,9474,1209
Кърджали,201512,60746,8360,832
Кюстендил,201512,56911,6575,1130
Ловеч,201512,55868,8782,1354
Монтана,201512,60045,12135,1893
Пазарджик,201512,115297,16453,2538
Перник,201512,60837,5079,734
Плевен,201512,107641,16747,2434
Пловдив,201512,302681,23809,4301
Разград,201512,52154,8479,947
Русе,201512,102880,8730,1080
Силистра,201512,45518,7444,921
Сливен,201512,78097,12890,2514
Смолян,201512,58440,10411,1033
гр. София,201512,665475,18401,2858
Софийска,201512,109181,12722,2391
Стара Загора,201512,147697,12387,2157
Търговище,201512,49168,8563,920
Хасково,201512,104465,11745,1759
Шумен,201512,76138,12605,1694
Ямбол,201512,55779,6916,1162
За страната,201601,3282740,334570,51153
Благоевград,201601,151333,21265,3548
Бургас,201601,188448,16693,2682
Варна,201601,222697,16489,2590
Велико Търново,201601,108453,10968,1488
Видин,201601,37828,9018,1418
Враца,201601,74912,15125,2613
Габрово,201601,54178,3280,457
Добрич,201601,79873,9701,1281
Кърджали,201601,60746,7999,819
Кюстендил,201601,56911,6944,1234
Ловеч,201601,55868,8940,1413
Монтана,201601,60045,12305,2006
Пазарджик,201601,115297,16565,2548
Перник,201601,60837,5159,750
Плевен,201601,107641,17332,2665
Пловдив,201601,302681,24278,4417
Разград,201601,52154,8375,751
Русе,201601,102880,8678,919
Силистра,201601,45518,7590,737
Сливен,201601,78097,13337,2685
Смолян,201601,58440,10253,979
гр. София,201601,665475,18545,2937
Софийска,201601,109181,12885,2474
Стара Загора,201601,147697,12632,2248
Търговище,201601,49168,8531,702
Хасково,201601,104465,11806,1805
Шумен,201601,76138,12743,1768
Ямбол,201601,55779,7134,1219
За страната,201602,3282740,329610,47599
Благоевград,201602,151333,21115,3399
Бургас,201602,188448,16389,2672
Варна,201602,222697,16010,2326
Велико Търново,201602,108453,10858,1380
Видин,201602,37828,8781,1247
Враца,201602,74912,14862,2413
Габрово,201602,54178,3204,395
Добрич,201602,79873,9558,1225
Кърджали,201602,60746,8139,944
Кюстендил,201602,56911,6865,1107
Ловеч,201602,55868,8769,1282
Монтана,201602,60045,12226,1890
Пазарджик,201602,115297,16538,2522
Перник,201602,60837,4842,617
Плевен,201602,107641,17319,2654
Пловдив,201602,302681,23575,4041
Разград,201602,52154,8367,774
Русе,201602,102880,8731,957
Силистра,201602,45518,7631,696
Сливен,201602,78097,12996,2367
Смолян,201602,58440,9864,715
гр. София,201602,665475,18318,2834
Софийска,201602,109181,12478,2106
Стара Загора,201602,147697,12155,2013
Търговище,201602,49168,8468,676
Хасково,201602,104465,12060,1766
Шумен,201602,76138,12472,1475
Ямбол,201602,55779,7020,1106
За страната,201603,3282740,324309,41349
Благоевград,201603,151333,20879,2896
Бургас,201603,188448,14892,2015
Варна,201603,222697,15156,2071
Велико Търново,201603,108453,10330,1127
Видин,201603,37828,8720,1100
Враца,201603,74912,14825,2030
Габрово,201603,54178,3256,351
Добрич,201603,79873,9120,1070
Кърджали,201603,60746,8198,770
Кюстендил,201603,56911,6962,1002
Ловеч,201603,55868,8653,1085
Монтана,201603,60045,12205,1514
Пазарджик,201603,115297,16171,2230
Перник,201603,60837,5059,592
Плевен,201603,107641,16884,2018
Пловдив,201603,302681,23325,3651
Разград,201603,52154,8474,732
Русе,201603,102880,8605,861
Силистра,201603,45518,7598,635
Сливен,201603,78097,12856,2127
Смолян,201603,58440,9958,580
гр. София,201603,665475,18044,2679
Софийска,201603,109181,12539,1980
Стара Загора,201603,147697,11868,1885
Търговище,201603,49168,8304,634
Хасково,201603,104465,12070,1494
Шумен,201603,76138,12409,1220
Ямбол,201603,55779,6949,1000
За страната,201604,3282740,305162,37549
Благоевград,201604,151333,20159,2746
Бургас,201604,188448,12589,1641
Варна,201604,222697,13223,1761
Велико Търново,201604,108453,9428,979
Видин,201604,37828,8298,947
Враца,201604,74912,14099,1822
Габрово,201604,54178,3059,320
Добрич,201604,79873,7863,871
Кърджали,201604,60746,7970,747
Кюстендил,201604,56911,6786,960
Ловеч,201604,55868,8214,991
Монтана,201604,60045,11723,1399
Пазарджик,201604,115297,15351,2004
Перник,201604,60837,4908,571
Плевен,201604,107641,16138,1858
Пловдив,201604,302681,21782,3373
Разград,201604,52154,8083,703
Русе,201604,102880,8187,808
Силистра,201604,45518,7153,560
Сливен,201604,78097,12431,1976
Смолян,201604,58440,9501,482
гр. София,201604,665475,17388,2489
Софийска,201604,109181,12259,1899
Стара Загора,201604,147697,11118,1745
Търговище,201604,49168,7913,583
Хасково,201604,104465,11230,1288
Шумен,201604,76138,11711,1096
Ямбол,201604,55779,6598,930
За страната,201605,3282740,286246,33979
Благоевград,201605,151333,19403,2497
Бургас,201605,188448,10322,1292
Варна,201605,222697,11723,1474
Велико Търново,201605,108453,8845,870
Видин,201605,37828,7974,880
Враца,201605,74912,13557,1659
Габрово,201605,54178,2911,296
Добрич,201605,79873,6606,674
Кърджали,201605,60746,7559,710
Кюстендил,201605,56911,6355,885
Ловеч,201605,55868,7914,915
Монтана,201605,60045,11176,1290
Пазарджик,201605,115297,14439,1823
Перник,201605,60837,4719,524
Плевен,201605,107641,15436,1697
Пловдив,201605,302681,20081,3067
Разград,201605,52154,7626,641
Русе,201605,102880,7704,693
Силистра,201605,45518,6744,519
Сливен,201605,78097,11907,1855
Смолян,201605,58440,8887,414
гр. София,201605,665475,16847,2356
Софийска,201605,109181,11869,1851
Стара Загора,201605,147697,10371,1557
Търговище,201605,49168,7391,505
Хасково,201605,104465,10542,1133
Шумен,201605,76138,11056,1025
Ямбол,201605,55779,6282,877
За страната,201606,3282740,274276,32510
Благоевград,201606,151333,18848,2446
Бургас,201606,188448,8963,1141
Варна,201606,222697,10748,1369
Велико Търново,201606,108453,8353,819
Видин,201606,37828,7783,850
Враца,201606,74912,13067,1583
Габрово,201606,54178,2890,293
Добрич,201606,79873,5918,611
Кърджали,201606,60746,7346,674
Кюстендил,201606,56911,6020,812
Ловеч,201606,55868,7677,907
Монтана,201606,60045,10817,1211
Пазарджик,201606,115297,13964,1775
Перник,201606,60837,4560,539
Плевен,201606,107641,14759,1588
Пловдив,201606,302681,19337,3031
Разград,201606,52154,7358,620
Русе,201606,102880,7363,678
Силистра,201606,45518,6510,504
Сливен,201606,78097,11236,1662
Смолян,201606,58440,8265,380
гр. София,201606,665475,16587,2248
Софийска,201606,109181,11632,1799
Стара Загора,201606,147697,10183,1541
Търговище,201606,49168,7178,502
Хасково,201606,104465,10179,1110
Шумен,201606,76138,10677,977
Ямбол,201606,55779,6058,840
За страната,201607,3282740,268100,31812
Благоевград,201607,151333,18583,2401
Бургас,201607,188448,8561,1094
Варна,201607,222697,10384,1350
Велико Търново,201607,108453,8201,781
Видин,201607,37828,7743,877
Враца,201607,74912,12730,1574
Габрово,201607,54178,2812,280
Добрич,201607,79873,5716,576
Кърджали,201607,60746,7348,620
Кюстендил,201607,56911,5914,791
Ловеч,201607,55868,7557,887
Монтана,201607,60045,10465,1192
Пазарджик,201607,115297,13659,1732
Перник,201607,60837,4421,527
Плевен,201607,107641,14363,1528
Пловдив,201607,302681,18804,2997
Разград,201607,52154,7207,590
Русе,201607,102880,7204,679
Силистра,201607,45518,6426,520
Сливен,201607,78097,10830,1540
Смолян,201607,58440,8019,418
гр. София,201607,665475,16586,2293
Софийска,201607,109181,11282,1740
Стара Загора,201607,147697,9954,1522
Търговище,201607,49168,7067,513
Хасково,201607,104465,9951,1040
Шумен,201607,76138,10513,986
Ямбол,201607,55779,5800,764
За страната,201608,3282740,261525,33108
Благоевград,201608,151333,18187,2414
Бургас,201608,188448,8356,1125
Варна,201608,222697,10306,1379
Велико Търново,201608,108453,8059,844
Видин,201608,37828,7484,963
Враца,201608,74912,12453,1660
Габрово,201608,54178,2728,273
Добрич,201608,79873,5522,611
Кърджали,201608,60746,7130,579
Кюстендил,201608,56911,5680,881
Ловеч,201608,55868,7243,863
Монтана,201608,60045,10332,1380
Пазарджик,201608,115297,13293,1687
Перник,201608,60837,4358,550
Плевен,201608,107641,13731,1463
Пловдив,201608,302681,18347,3065
Разград,201608,52154,7090,713
Русе,201608,102880,7084,779
Силистра,201608,45518,6442,675
Сливен,201608,78097,10393,1445
Смолян,201608,58440,7656,604
гр. София,201608,665475,16421,2294
Софийска,201608,109181,10863,1732
Стара Загора,201608,147697,9645,1480
Търговище,201608,49168,7034,649
Хасково,201608,104465,9693,1047
Шумен,201608,76138,10417,1176
Ямбол,201608,55779,5578,777
За страната,201609,3282740,255466,35104
Благоевград,201609,151333,17789,2600
Бургас,201609,188448,8960,1344
Варна,201609,222697,10453,1530
Велико Търново,201609,108453,7848,949
Видин,201609,37828,7419,1038
Враца,201609,74912,12241,1850
Габрово,201609,54178,2636,317
Добрич,201609,79873,5584,638
Кърджали,201609,60746,6827,637
Кюстендил,201609,56911,5430,858
Ловеч,201609,55868,6980,943
Монтана,201609,60045,10127,1490
Пазарджик,201609,115297,12885,1726
Перник,201609,60837,4202,574
Плевен,201609,107641,13501,1784
Пловдив,201609,302681,17771,3176
Разград,201609,52154,6720,661
Русе,201609,102880,6776,738
Силистра,201609,45518,6158,668
Сливен,201609,78097,10368,1680
Смолян,201609,58440,7368,669
гр. София,201609,665475,15932,2217
Софийска,201609,109181,10406,1767
Стара Загора,201609,147697,9341,1480
Търговище,201609,49168,6869,629
Хасково,201609,104465,9402,1144
Шумен,201609,76138,10083,1233
Ямбол,201609,55779,5390,764
За страната,201610,3282740,258223,36678
Благоевград,201610,151333,17389,2788
Бургас,201610,188448,12183,1766
Варна,201610,222697,11882,1795
Велико Търново,201610,108453,7803,1017
Видин,201610,37828,7283,1095
Враца,201610,74912,11931,1873
Габрово,201610,54178,2468,302
Добрич,201610,79873,6394,790
Кърджали,201610,60746,6809,671
Кюстендил,201610,56911,5264,879
Ловеч,201610,55868,6913,995
Монтана,201610,60045,9996,1499
Пазарджик,201610,115297,12913,1771
Перник,201610,60837,3974,514
Плевен,201610,107641,13245,1823
Пловдив,201610,302681,17569,3200
Разград,201610,52154,6528,659
Русе,201610,102880,6685,752
Силистра,201610,45518,6102,682
Сливен,201610,78097,10515,1760
Смолян,201610,58440,7615,726
гр. София,201610,665475,15678,2182
Софийска,201610,109181,10309,1760
Стара Загора,201610,147697,8993,1438
Търговище,201610,49168,6964,690
Хасково,201610,104465,9412,1238
Шумен,201610,76138,10168,1273
Ямбол,201610,55779,5238,740
За страната,201611,3282740,257980,37463
Благоевград,201611,151333,16954,2818
Бургас,201611,188448,13134,1939
Варна,201611,222697,12540,1909
Велико Търново,201611,108453,8062,1109
Видин,201611,37828,7262,1086
Враца,201611,74912,11756,1866
Габрово,201611,54178,2493,343
Добрич,201611,79873,7035,879
Кърджали,201611,60746,6775,692
Кюстендил,201611,56911,5126,854
Ловеч,201611,55868,6943,1035
Монтана,201611,60045,9864,1476
Пазарджик,201611,115297,13012,1866
Перник,201611,60837,3714,495
Плевен,201611,107641,13104,1784
Пловдив,201611,302681,17552,3238
Разград,201611,52154,6490,673
Русе,201611,102880,6711,784
Силистра,201611,45518,6239,741
Сливен,201611,78097,10411,1756
Смолян,201611,58440,7453,772
гр. София,201611,665475,15296,2177
Софийска,201611,109181,9838,1674
Стара Загора,201611,147697,8873,1481
Търговище,201611,49168,7051,736
Хасково,201611,104465,9042,1234
Шумен,201611,76138,10119,1295
Ямбол,201611,55779,5131,751
За страната,201612,3282740,261015,37667
Благоевград,201612,151333,16535,2703
Бургас,201612,188448,13374,1946
Варна,201612,222697,12952,1957
Велико Търново,201612,108453,8435,1158
Видин,201612,37828,7233,1088
Враца,201612,74912,11807,1865
Габрово,201612,54178,2530,355
Добрич,201612,79873,7468,883
Кърджали,201612,60746,7012,734
Кюстендил,201612,56911,5316,887
Ловеч,201612,55868,6951,1076
Монтана,201612,60045,9929,1505
Пазарджик,201612,115297,13191,1896
Перник,201612,60837,3624,481
Плевен,201612,107641,13314,1803
Пловдив,201612,302681,17588,3165
Разград,201612,52154,6681,696
Русе,201612,102880,6933,864
Силистра,201612,45518,6533,775
