"oblast","obshtina","godina","naeti","godzaplata","meszapl","mrz","mrzproc","obshtkod","nastrw","koefnaeti"
"Враца","Мездра",2014,3372,6557,546.416666666667,340,62,"VRC27",20118,16.8
"Враца","Мизия",2014,900,6210,517.5,340,66,"VRC28",6904,13
"Враца","Оряхово",2014,1226,7434,619.5,340,55,"VRC31",10583,11.6
"Враца","Роман",2014,996,6251,520.916666666667,340,65,"VRC32",5843,17
"Враца","Хайредин",2014,496,6156,513,340,66,"VRC35",4703,10.5
"Ловеч","Априлци",2014,734,6464,538.666666666667,340,63,"LOV02",3114,23.6
"Ловеч","Летница",2014,1034,7907,658.916666666667,340,52,"LOV17",3567,29
"Ловеч","Ловеч",2014,14192,7993,666.083333333333,340,51,"LOV18",46761,30.4
"Ловеч","Луковит",2014,2861,6989,582.416666666667,340,58,"LOV19",17186,16.6
"Ловеч","Тетевен",2014,3251,6350,529.166666666667,340,64,"LOV33",20257,16
"Ловеч","Троян",2014,10033,7190,599.166666666667,340,57,"LOV34",30579,32.8
"Ловеч","Угърчин",2014,746,6648,554,340,61,"LOV36",6032,12.4
"Ловеч","Ябланица",2014,1138,9134,761.166666666667,340,45,"LOV38",6017,18.9
"Монтана","Берковица",2014,3113,7213,601.083333333333,340,57,"MON02",17547,17.7
"Монтана","Бойчиновци",2014,818,6991,582.583333333333,340,58,"MON04",8664,9.4
"Монтана","Брусарци",2014,394,5849,487.416666666667,340,70,"MON07",4675,8.4
"Монтана","Вълчедръм",2014,924,7620,635,340,54,"MON11",9225,10
"Монтана","Вършец",2014,1149,7079,589.916666666667,340,58,"MON12",7704,14.9
"Монтана","Георги Дамяново",2014,438,6033,502.75,340,68,"MON14",2490,17.6
"Монтана","Лом",2014,5388,7046,587.166666666667,340,58,"MON24",26744,20.1
"Монтана","Медковец",2014,366,6646,553.833333333333,340,61,"MON26",3724,9.8
"Монтана","Монтана",2014,14324,7836,653,340,52,"MON29",51013,28.1
"Монтана","Чипровци",2014,708,6804,567,340,60,"MON36",3393,20.9
"Монтана","Якимово",2014,470,7522,626.833333333333,340,54,"MON38",4171,11.3
"Плевен","Белене",2014,1665,7477,623.083333333333,340,55,"PVN03",9439,17.6
"Плевен","Гулянци",2014,1103,6360,530,340,64,"PVN08",11308,9.8
"Плевен","Долна Митрополия",2014,2269,6683,556.916666666667,340,61,"PVN10",18990,11.9
"Плевен","Долни Дъбник",2014,1921,7696,641.333333333333,340,53,"PVN11",11137,17.2
"Плевен","Искър",2014,702,5886,490.5,340,69,"PVN23",6474,10.8
"Плевен","Кнежа",2014,2323,7466,622.166666666667,340,55,"PVN39",12977,17.9
"Плевен","Левски",2014,3189,6736,561.333333333333,340,61,"PVN16",18776,17
"Плевен","Никопол",2014,1306,6830,569.166666666667,340,60,"PVN21",8684,15
"Плевен","Плевен",2014,40478,7584,632,340,54,"PVN24",125623,32.2
"Плевен","Пордим",2014,982,7272,606,340,56,"PVN27",5963,16.5
"Плевен","Червен бряг",2014,3859,7023,585.25,340,58,"PVN37",26378,14.6
"Велико Търново","Велико Търново",2014,30717,8135,677.916666666667,340,50,"VTR04",87771,35
"Велико Търново","Горна Оряховица",2014,11869,7550,629.166666666667,340,54,"VTR06",44334,26.8
"Велико Търново","Елена",2014,1872,5901,491.75,340,69,"VTR13",8988,20.8
"Велико Търново","Златарица",2014,490,5880,490,340,69,"VTR14",3851,12.7
"Велико Търново","Лясковец",2014,4814,7734,644.5,340,53,"VTR20",12664,38
"Велико Търново","Павликени",2014,4579,7152,596,340,57,"VTR22",22464,20.4
"Велико Търново","Полски Тръмбеш",2014,1586,6471,539.25,340,63,"VTR26",13416,11.8
"Велико Търново","Свищов",2014,8716,7346,612.166666666667,340,56,"VTR28",39574,22
"Велико Търново","Стражица",2014,2418,6919,576.583333333333,340,59,"VTR31",12331,19.6
"Велико Търново","Сухиндол",2014,411,6386,532.166666666667,340,64,"VTR32",2389,17.2
"Габрово","Габрово",2014,19963,7832,652.666666666667,340,52,"GAB05",61893,32.3
"Габрово","Дряново",2014,2232,8328,694,340,49,"GAB12",9234,24.2
"Габрово","Севлиево",2014,13534,9431,785.916666666667,340,43,"GAB29",34143,39.6
"Габрово","Трявна",2014,3261,6230,519.166666666667,340,65,"GAB35",11081,29.4
"Разград","Завет",2014,1179,6069,505.75,340,67,"RAZ11",10038,11.7
"Разград","Исперих",2014,4959,7443,620.25,340,55,"RAZ14",21590,23
"Разград","Кубрат",2014,2367,6670,555.833333333333,340,61,"RAZ16",17243,13.7
"Разград","Лозница",2014,966,6775,564.583333333333,340,60,"RAZ17",8829,10.9
"Разград","Разград",2014,15272,9348,779,340,44,"RAZ26",48914,31.2
"Разград","Самуил",2014,1071,7362,613.5,340,55,"RAZ29",6645,16.1
"Разград","Цар Калоян",2014,676,6182,515.166666666667,340,66,"RAZ36",5789,11.7
"Русе","Борово",2014,777,7246,603.833333333333,340,56,"RSE03",5674,13.7
"Русе","Бяла",2014,3084,6992,582.666666666667,340,58,"RSE04",12677,24.3
"Русе","Ветово",2014,2367,8666,722.166666666667,340,47,"RSE05",11828,20
"Русе","Две могили",2014,1290,6841,570.083333333333,340,60,"RSE08",8735,14.8
"Русе","Иваново",2014,1022,7764,647,340,53,"RSE13",8832,11.6
"Русе","Русе",2014,58527,8105,675.416666666667,340,50,"RSE27",164219,35.6
"Русе","Сливо поле",2014,1754,8420,701.666666666667,340,48,"RSE33",10275,17.1
"Русе","Ценово",2014,610,6341,528.416666666667,340,64,"RSE37",5445,11.2
"Силистра","Алфатар",2014,464,6406,533.833333333333,340,64,"SLS01",2812,16.5
"Силистра","Главиница",2014,975,7496,624.666666666667,340,54,"SLS07",10407,9.4
"Силистра","Дулово",2014,3022,6403,533.583333333333,340,64,"SLS10",27963,10.8
"Силистра","Кайнарджа",2014,528,6874,572.833333333333,340,59,"SLS15",5096,10.4
"Силистра","Силистра",2014,12540,7543,628.583333333333,340,54,"SLS31",48709,25.7
"Силистра","Ситово",2014,833,6339,528.25,340,64,"SLS32",5117,16.3
"Силистра","Тутракан",2014,2405,6955,579.583333333333,340,59,"SLS34",14566,16.5
"Варна","Аврен",2014,1427,7924,660.333333333333,340,51,"VAR01",9098,15.7
"Варна","Аксаково",2014,3389,7606,633.833333333333,340,54,"VAR02",20647,16.4
