;;левове;
BG342;2014X;640;
BG342;2014XI;626;
BG342;2014XII;653;
BG342;2015I;658;
BG342;2015II;642;
BG342;2015III;652;
BG342;2015IV;670;
BG342;2015V;700;
BG342;2015VI;660;
BG342;2015VII;666;
BG342;2015VIII;656;
BG342;2015IX;683;
BG342;2015X;694;
BG342;2015XI;683;
BG342;2015XII;728;
BG342;2016I;688;
BG342;2016II;688;
BG342;2016III;712;
BG342;2016IV;722;
BG342;2016V;742;
BG342;2016VI;715;
BG342;2016VII;714;
BG342;2016VIII;699;
BG342;2016IX;738;
BG342;2016X;751;
BG342;2016XI;725;
BG342;2016XII;765;
BG342;2017I;709;
BG342;2017II;740;
BG342;2017III;752;
BG342;2017IV;777;
BG342;2017V;801;
BG342;2017VI;768;
BG342;2017VII;762;
BG342;2017VIII;753;
BG342;2017IX;803;
BG342;2017X;828;
BG342;2017XI;788;
BG342;2017XII;829;
BG342;2018I;805;
BG342;2018II;798;
BG342;2018III;826;
BG342;2018IV;863;
BG342;2018V;877;
BG342;2018VI;836;
BG342;2018VII;827;
BG342;2018VIII;817;
BG342;2018IX;871;
BG342;2018X;876;
BG342;2018XI;844;
BG342;2018XII;903;
BG342;2019I;905;
BG342;2019II;894;
BG342;2019III;921;
BG342;2019IV;926;
BG342;2019V;952;
BG342;2019VI;925;
BG342;2019VII;910;
BG342;2019VIII;898;
BG342;2019IX;963;
BG342;2019X;986;
BG342;2019XI;935;
BG342;2019XII;1015;
BG342;2020I;992;
BG342;2020II;995;
BG342;2020III;994;
BG342;2020IV;949;
BG342;2020V;1021;
BG342;2020VI;1018;
BG342;2020VII;1021;
BG342;2020VIII;991;
BG342;2020IX;1059;
BG344;2008I;471;
BG344;2008II;487;
BG344;2008III;550;
BG344;2008IV;501;
BG344;2008V;522;
BG344;2008VI;552;
BG344;2008VII;525;
BG344;2008VIII;535;
BG344;2008IX;590;
BG344;2008X;553;
BG344;2008XI;551;
BG344;2008XII;577;
BG344;2009I;574;
BG344;2009II;577;
BG344;2009III;642;
BG344;2009IV;603;
BG344;2009V;615;
BG344;2009VI;647;
BG344;2009VII;601;
BG344;2009VIII;607;
BG344;2009IX;620;
BG344;2009X;630;
BG344;2009XI;619;
BG344;2009XII;683;
BG344;2010I;625;
BG344;2010II;622;
BG344;2010III;679;
BG344;2010IV;650;
BG344;2010V;650;
BG344;2010VI;672;
BG344;2010VII;668;
BG344;2010VIII;644;
BG344;2010IX;697;
BG344;2010X;667;
BG344;2010XI;680;
BG344;2010XII;703;
BG344;2011I;651;
BG344;2011II;663;
BG344;2011III;716;
BG344;2011IV;694;
BG344;2011V;690;
BG344;2011VI;745;
BG344;2011VII;673;
BG344;2011VIII;696;
BG344;2011IX;748;
BG344;2011X;708;
BG344;2011XI;710;
BG344;2011XII;780;
BG344;2012I;736;
BG344;2012II;737;
BG344;2012III;800;
BG344;2012IV;753;
BG344;2012V;765;
BG344;2012VI;785;
BG344;2012VII;744;
BG344;2012VIII;757;
BG344;2012IX;831;
BG344;2012X;749;
BG344;2012XI;749;
BG344;2012XII;846;
BG344;2013I;735;
BG344;2013II;770;
BG344;2013III;800;
BG344;2013IV;753;
BG344;2013V;769;
BG344;2013VI;795;
BG344;2013VII;748;
BG344;2013VIII;745;
BG344;2013IX;835;
BG344;2013X;758;
BG344;2013XI;771;
BG344;2013XII;843;
BG344;2014I;762;
BG344;2014II;817;
BG344;2014III;863;
BG344;2014IV;838;
BG344;2014V;818;
BG344;2014VI;846;
BG344;2014VII;787;
BG344;2014VIII;790;
BG344;2014IX;866;
BG344;2014X;807;
BG344;2014XI;811;
BG344;2014XII;898;
BG344;2015I;814;
BG344;2015II;843;
BG344;2015III;910;
BG344;2015IV;854;
BG344;2015V;890;
BG344;2015VI;888;
BG344;2015VII;849;
BG344;2015VIII;851;
BG344;2015IX;898;
BG344;2015X;876;
BG344;2015XI;880;
BG344;2015XII;929;
BG344;2016I;882;
BG344;2016II;878;
BG344;2016III;931;
BG344;2016IV;926;
BG344;2016V;936;
BG344;2016VI;942;
BG344;2016VII;914;
BG344;2016VIII;907;
BG344;2016IX;951;
BG344;2016X;942;
BG344;2016XI;930;
BG344;2016XII;997;
BG344;2017I;928;
BG344;2017II;947;
BG344;2017III;1008;
BG344;2017IV;1006;
BG344;2017V;1010;
BG344;2017VI;1007;
BG344;2017VII;983;
BG344;2017VIII;990;
BG344;2017IX;1046;
BG344;2017X;1027;
BG344;2017XI;1040;
BG344;2017XII;1112;
BG344;2018I;1018;
BG344;2018II;1019;
BG344;2018III;1119;
BG344;2018IV;1082;
BG344;2018V;1088;
BG344;2018VI;1135;
BG344;2018VII;1076;
BG344;2018VIII;1066;
BG344;2018IX;1146;
BG344;2018X;1114;
BG344;2018XI;1104;
BG344;2018XII;1179;
BG344;2019I;1104;
BG344;2019II;1118;
BG344;2019III;1179;
BG344;2019IV;1166;
BG344;2019V;1163;
BG344;2019VI;1164;
BG344;2019VII;1153;
BG344;2019VIII;1147;
BG344;2019IX;1195;
BG344;2019X;1177;
BG344;2019XI;1203;
BG344;2019XII;1226;
BG344;2020I;1174;
BG344;2020II;1178;
BG344;2020III;1198;
BG344;2020IV;1174;
BG344;2020V;1212;
BG344;2020VI;1230;
BG344;2020VII;1207;
BG344;2020VIII;1181;
BG344;2020IX;1292;
BG343;2008I;370;
BG343;2008II;370;
BG343;2008III;374;
BG343;2008IV;379;
BG343;2008V;383;
BG343;2008VI;398;
BG343;2008VII;404;
BG343;2008VIII;400;
BG343;2008IX;435;
BG343;2008X;417;
BG343;2008XI;406;
BG343;2008XII;411;
BG343;2009I;440;
BG343;2009II;446;
BG343;2009III;466;
BG343;2009IV;465;
BG343;2009V;485;
BG343;2009VI;472;
BG343;2009VII;470;
BG343;2009VIII;463;
BG343;2009IX;516;
BG343;2009X;472;
BG343;2009XI;478;
BG343;2009XII;499;
BG343;2010I;462;
BG343;2010II;462;
BG343;2010III;480;
BG343;2010IV;498;
BG343;2010V;511;
BG343;2010VI;505;
BG343;2010VII;510;
BG343;2010VIII;495;
BG343;2010IX;512;
BG343;2010X;508;
BG343;2010XI;525;
BG343;2010XII;522;
BG343;2011I;503;
BG343;2011II;496;
BG343;2011III;516;
BG343;2011IV;515;
BG343;2011V;534;
BG343;2011VI;523;
BG343;2011VII;525;
BG343;2011VIII;502;
BG343;2011IX;538;
BG343;2011X;534;
BG343;2011XI;534;
BG343;2011XII;538;
BG343;2012I;517;
BG343;2012II;522;
BG343;2012III;538;
BG343;2012IV;541;
BG343;2012V;552;
BG343;2012VI;537;
BG343;2012VII;546;
BG343;2012VIII;532;
BG343;2012IX;561;
BG343;2012X;560;
BG343;2012XI;548;
BG343;2012XII;564;
BG343;2013I;560;
BG343;2013II;567;
BG343;2013III;576;
BG343;2013IV;592;
BG343;2013V;596;
BG343;2013VI;586;
BG343;2013VII;599;
BG343;2013VIII;572;
BG343;2013IX;606;
BG343;2013X;613;
BG343;2013XI;609;
BG343;2013XII;604;
BG343;2014I;576;
BG343;2014II;583;
BG343;2014III;593;
BG343;2014IV;603;
BG343;2014V;602;
BG343;2014VI;593;
BG343;2014VII;597;
BG343;2014VIII;580;
BG343;2014IX;608;
BG343;2014X;610;
BG343;2014XI;603;
BG343;2014XII;634;
BG343;2015I;653;
BG343;2015II;624;
BG343;2015III;639;
BG343;2015IV;652;
BG343;2015V;663;
BG343;2015VI;649;
BG343;2015VII;670;
BG343;2015VIII;663;
BG343;2015IX;682;
BG343;2015X;695;
BG343;2015XI;679;
BG343;2015XII;702;
BG343;2016I;663;
BG343;2016II;664;
BG343;2016III;682;
BG343;2016IV;692;
BG343;2016V;710;
BG343;2016VI;690;
BG343;2016VII;692;
BG343;2016VIII;676;
BG343;2016IX;691;
BG343;2016X;719;
BG343;2016XI;702;
BG343;2016XII;717;
BG343;2017I;764;
BG343;2017II;791;
BG343;2017III;813;
BG343;2017IV;766;
BG343;2017V;794;
BG343;2017VI;770;
BG343;2017VII;802;
BG343;2017VIII;786;
BG343;2017IX;818;
BG343;2017X;842;
BG343;2017XI;837;
BG343;2017XII;864;
BG343;2018I;840;
BG343;2018II;839;
BG343;2018III;880;
BG343;2018IV;908;
BG343;2018V;913;
BG343;2018VI;894;
BG343;2018VII;900;
BG343;2018VIII;890;
BG343;2018IX;911;
BG343;2018X;939;
BG343;2018XI;944;
BG343;2018XII;968;
BG343;2019I;910;
BG343;2019II;928;
BG343;2019III;953;
BG343;2019IV;963;
BG343;2019V;980;
BG343;2019VI;964;
BG343;2019VII;965;
BG343;2019VIII;956;
BG343;2019IX;1002;
BG343;2019X;1020;
BG343;2019XI;1001;
BG343;2019XII;1047;
BG343;2020I;1006;
BG343;2020II;1006;
BG343;2020III;1008;
BG343;2020IV;993;
BG343;2020V;1045;
BG343;2020VI;1064;
BG343;2020VII;1076;
BG343;2020VIII;1039;
BG343;2020IX;1099;
BG413;2008I;361;
BG413;2008II;365;
BG413;2008III;392;
BG413;2008IV;375;
BG413;2008V;376;
BG413;2008VI;411;
BG413;2008VII;380;
BG413;2008VIII;373;
BG413;2008IX;422;
BG413;2008X;401;
BG413;2008XI;408;
BG413;2008XII;445;
BG413;2009I;431;
BG413;2009II;436;
BG413;2009III;451;
BG413;2009IV;451;
BG413;2009V;461;
BG413;2009VI;467;
BG413;2009VII;455;
BG413;2009VIII;445;
BG413;2009IX;483;
BG413;2009X;465;
BG413;2009XI;463;
BG413;2009XII;482;
BG413;2010I;467;
BG413;2010II;464;
BG413;2010III;493;
BG413;2010IV;478;
BG413;2010V;483;
BG413;2010VI;496;
BG413;2010VII;479;
BG413;2010VIII;473;
BG413;2010IX;499;
BG413;2010X;493;
BG413;2010XI;492;
BG413;2010XII;531;
BG413;2011I;482;
BG413;2011II;482;
BG413;2011III;516;
BG413;2011IV;507;
BG413;2011V;507;
BG413;2011VI;515;
BG413;2011VII;504;
BG413;2011VIII;501;
BG413;2011IX;525;
BG413;2011X;533;
BG413;2011XI;521;
BG413;2011XII;535;
BG413;2012I;515;
BG413;2012II;511;
BG413;2012III;544;
BG413;2012IV;536;
BG413;2012V;550;
BG413;2012VI;544;
BG413;2012VII;541;
BG413;2012VIII;536;
BG413;2012IX;539;
BG413;2012X;562;
BG413;2012XI;551;
BG413;2012XII;568;
BG413;2013I;537;
BG413;2013II;531;
BG413;2013III;552;
BG413;2013IV;551;
BG413;2013V;554;
BG413;2013VI;551;
BG413;2013VII;552;
BG413;2013VIII;545;
BG413;2013IX;555;
BG413;2013X;564;
BG413;2013XI;559;
BG413;2013XII;581;
BG413;2014I;570;
BG413;2014II;569;
BG413;2014III;592;
BG413;2014IV;582;
BG413;2014V;578;
BG413;2014VI;569;
BG413;2014VII;579;
BG413;2014VIII;568;
BG413;2014IX;582;
BG413;2014X;595;
BG413;2014XI;584;
BG413;2014XII;612;
BG413;2015I;595;
BG413;2015II;589;
BG413;2015III;607;
BG413;2015IV;611;
BG413;2015V;610;
BG413;2015VI;603;
BG413;2015VII;604;
BG413;2015VIII;600;
BG413;2015IX;602;
BG413;2015X;625;
BG413;2015XI;622;
BG413;2015XII;647;
BG413;2016I;634;
BG413;2016II;632;
BG413;2016III;639;
BG413;2016IV;649;
BG413;2016V;653;
BG413;2016VI;668;
BG413;2016VII;657;
BG413;2016VIII;644;
BG413;2016IX;660;
BG413;2016X;684;
BG413;2016XI;665;
BG413;2016XII;692;
BG413;2017I;663;
BG413;2017II;668;
BG413;2017III;686;
BG413;2017IV;690;
BG413;2017V;698;
BG413;2017VI;695;
BG413;2017VII;704;
BG413;2017VIII;688;
BG413;2017IX;719;
BG413;2017X;733;
BG413;2017XI;715;
BG413;2017XII;735;
BG413;2018I;722;
BG413;2018II;713;
BG413;2018III;729;
BG413;2018IV;742;
BG413;2018V;744;
BG413;2018VI;743;
BG413;2018VII;752;
BG413;2018VIII;731;
BG413;2018IX;747;
BG413;2018X;773;
BG413;2018XI;748;
BG413;2018XII;793;
BG413;2019I;772;
BG413;2019II;778;
BG413;2019III;787;
BG413;2019IV;816;
BG413;2019V;810;
BG413;2019VI;800;
BG413;2019VII;817;
BG413;2019VIII;802;
BG413;2019IX;826;
BG413;2019X;855;
BG413;2019XI;821;
BG413;2019XII;851;
BG413;2020I;879;
BG413;2020II;878;
BG413;2020III;842;
BG413;2020IV;857;
BG413;2020V;890;
BG413;2020VI;910;
BG413;2020VII;921;
BG413;2020VIII;904;
BG413;2020IX;942;
BG415;2008I;389;
BG415;2008II;392;
BG415;2008III;402;
BG415;2008IV;409;
BG415;2008V;423;
BG415;2008VI;427;
BG415;2008VII;409;
BG415;2008VIII;413;
BG415;2008IX;439;
BG415;2008X;434;
BG415;2008XI;437;
BG415;2008XII;483;
BG415;2009I;445;
BG415;2009II;450;
BG415;2009III;462;
BG415;2009IV;460;
BG415;2009V;472;
BG415;2009VI;458;
BG415;2009VII;468;
BG415;2009VIII;458;
BG415;2009IX;482;
BG415;2009X;472;
BG415;2009XI;472;
BG415;2009XII;513;
BG415;2010I;466;
BG415;2010II;470;
BG415;2010III;481;
BG415;2010IV;486;
BG415;2010V;502;
BG415;2010VI;488;
BG415;2010VII;496;
BG415;2010VIII;489;
BG415;2010IX;501;
BG415;2010X;495;
BG415;2010XI;500;
BG415;2010XII;527;
BG415;2011I;486;
BG415;2011II;480;
BG415;2011III;496;
BG415;2011IV;508;
BG415;2011V;515;
BG415;2011VI;504;
BG415;2011VII;511;
BG415;2011VIII;526;
BG415;2011IX;537;
BG415;2011X;544;
BG415;2011XI;539;
BG415;2011XII;549;
BG415;2012I;513;
BG415;2012II;498;
BG415;2012III;523;
BG415;2012IV;541;
BG415;2012V;552;
BG415;2012VI;542;
BG415;2012VII;534;
BG415;2012VIII;540;
BG415;2012IX;560;
BG415;2012X;571;
BG415;2012XI;561;
BG415;2012XII;578;
BG415;2013I;562;
BG415;2013II;549;
BG415;2013III;556;
BG415;2013IV;568;
BG415;2013V;590;
BG415;2013VI;560;
BG415;2013VII;546;
BG415;2013VIII;553;
BG415;2013IX;570;
BG415;2013X;599;
BG415;2013XI;588;
BG415;2013XII;604;
BG415;2014I;597;
BG415;2014II;598;
BG415;2014III;604;
BG415;2014IV;619;
BG415;2014V;618;
BG415;2014VI;601;
BG415;2014VII;599;
BG415;2014VIII;588;
BG415;2014IX;603;
BG415;2014X;619;
BG415;2014XI;613;
BG415;2014XII;632;
BG415;2015I;628;
BG415;2015II;595;
BG415;2015III;644;
BG415;2015IV;612;
BG415;2015V;628;
BG415;2015VI;611;
BG415;2015VII;609;
BG415;2015VIII;604;
BG415;2015IX;624;
BG415;2015X;621;
BG415;2015XI;623;
BG415;2015XII;647;
BG415;2016I;686;
BG415;2016II;647;
BG415;2016III;699;
BG415;2016IV;676;
BG415;2016V;678;
BG415;2016VI;664;
BG415;2016VII;663;
BG415;2016VIII;652;
BG415;2016IX;682;
BG415;2016X;674;
BG415;2016XI;675;
BG415;2016XII;700;
BG415;2017I;709;
BG415;2017II;673;
BG415;2017III;737;
BG415;2017IV;713;
BG415;2017V;712;
BG415;2017VI;695;
BG415;2017VII;703;
BG415;2017VIII;690;
BG415;2017IX;726;
BG415;2017X;741;
BG415;2017XI;727;
BG415;2017XII;763;
BG415;2018I;741;
BG415;2018II;751;
BG415;2018III;771;
BG415;2018IV;791;
BG415;2018V;796;
BG415;2018VI;779;
BG415;2018VII;780;
BG415;2018VIII;770;
BG415;2018IX;800;
BG415;2018X;808;
BG415;2018XI;786;
BG415;2018XII;820;
BG415;2019I;817;
BG415;2019II;841;
BG415;2019III;876;
BG415;2019IV;878;
BG415;2019V;887;
BG415;2019VI;870;
BG415;2019VII;866;
BG415;2019VIII;852;
BG415;2019IX;887;
BG415;2019X;917;
BG415;2019XI;892;
BG415;2019XII;933;
BG415;2020I;923;
BG415;2020II;921;
BG415;2020III;904;
BG415;2020IV;913;
BG415;2020V;971;
BG415;2020VI;983;
BG415;2020VII;987;
BG415;2020VIII;962;
BG415;2020IX;1015;
BG414;2008I;440;
BG414;2008II;439;
BG414;2008III;433;
BG414;2008IV;437;
BG414;2008V;472;
BG414;2008VI;480;
BG414;2008VII;456;
BG414;2008VIII;461;
BG414;2008IX;474;
BG414;2008X;500;
BG414;2008XI;470;
BG414;2008XII;479;
BG414;2009I;482;
BG414;2009II;475;
BG414;2009III;479;
BG414;2009IV;480;
BG414;2009V;494;
BG414;2009VI;480;
BG414;2009VII;477;
BG414;2009VIII;474;
BG414;2009IX;492;
BG414;2009X;490;
BG414;2009XI;503;
BG414;2009XII;497;
BG414;2010I;500;
BG414;2010II;487;
BG414;2010III;493;
BG414;2010IV;507;
BG414;2010V;517;
BG414;2010VI;502;
BG414;2010VII;515;
BG414;2010VIII;523;
BG414;2010IX;532;
BG414;2010X;527;
BG414;2010XI;531;
BG414;2010XII;543;
BG414;2011I;543;
BG414;2011II;535;
BG414;2011III;566;
BG414;2011IV;573;
BG414;2011V;566;
BG414;2011VI;552;
BG414;2011VII;539;
BG414;2011VIII;542;
BG414;2011IX;555;
BG414;2011X;566;
BG414;2011XI;608;
BG414;2011XII;585;
BG414;2012I;522;
BG414;2012II;508;
BG414;2012III;532;
BG414;2012IV;551;
BG414;2012V;554;
BG414;2012VI;555;
BG414;2012VII;575;
BG414;2012VIII;548;
BG414;2012IX;575;
BG414;2012X;572;
BG414;2012XI;569;
BG414;2012XII;575;
BG414;2013I;546;
BG414;2013II;540;
BG414;2013III;567;
BG414;2013IV;564;
BG414;2013V;591;
BG414;2013VI;564;
BG414;2013VII;568;
BG414;2013VIII;559;
BG414;2013IX;585;
BG414;2013X;591;
BG414;2013XI;580;
BG414;2013XII;595;
BG414;2014I;568;
BG414;2014II;565;
BG414;2014III;591;
BG414;2014IV;598;
BG414;2014V;603;
BG414;2014VI;581;
BG414;2014VII;591;
BG414;2014VIII;587;
BG414;2014IX;600;
BG414;2014X;618;
BG414;2014XI;614;
BG414;2014XII;652;
BG414;2015I;614;
BG414;2015II;608;
BG414;2015III;620;
BG414;2015IV;632;
BG414;2015V;642;
BG414;2015VI;631;
BG414;2015VII;642;
BG414;2015VIII;645;
BG414;2015IX;666;
BG414;2015X;666;
BG414;2015XI;658;
BG414;2015XII;689;
BG414;2016I;671;
BG414;2016II;666;
BG414;2016III;692;
BG414;2016IV;698;
BG414;2016V;724;
BG414;2016VI;692;
BG414;2016VII;698;
BG414;2016VIII;682;
BG414;2016IX;701;
BG414;2016X;718;
BG414;2016XI;745;
BG414;2016XII;742;
BG414;2017I;703;
BG414;2017II;717;
BG414;2017III;741;
BG414;2017IV;768;
BG414;2017V;772;
BG414;2017VI;749;
BG414;2017VII;750;
BG414;2017VIII;750;
BG414;2017IX;786;
BG414;2017X;781;
BG414;2017XI;770;
BG414;2017XII;821;
BG414;2018I;825;
BG414;2018II;828;
BG414;2018III;860;
BG414;2018IV;909;
BG414;2018V;879;
BG414;2018VI;872;
BG414;2018VII;882;
BG414;2018VIII;844;
BG414;2018IX;887;
BG414;2018X;886;
BG414;2018XI;890;
BG414;2018XII;942;
BG414;2019I;904;
BG414;2019II;934;
BG414;2019III;954;
BG414;2019IV;1016;
BG414;2019V;998;
BG414;2019VI;1005;
BG414;2019VII;976;
BG414;2019VIII;954;
BG414;2019IX;1002;
BG414;2019X;1027;
BG414;2019XI;1000;
BG414;2019XII;1125;
BG414;2020I;966;
BG414;2020II;968;
BG414;2020III;947;
BG414;2020IV;957;
BG414;2020V;971;
BG414;2020VI;960;
BG414;2020VII;1004;
BG414;2020VIII;969;
BG414;2020IX;999;
BG412;2008I;480;
BG412;2008II;485;
BG412;2008III;516;
BG412;2008IV;513;
BG412;2008V;542;
BG412;2008VI;539;
BG412;2008VII;517;
BG412;2008VIII;527;
BG412;2008IX;572;
BG412;2008X;542;
BG412;2008XI;561;
BG412;2008XII;568;
BG412;2009I;549;
BG412;2009II;552;
BG412;2009III;568;
BG412;2009IV;574;
BG412;2009V;589;
BG412;2009VI;586;
BG412;2009VII;579;
BG412;2009VIII;565;
BG412;2009IX;595;
BG412;2009X;577;
BG412;2009XI;614;
BG412;2009XII;612;
BG412;2010I;555;
BG412;2010II;552;
BG412;2010III;583;
BG412;2010IV;575;
BG412;2010V;595;
BG412;2010VI;578;
BG412;2010VII;565;
BG412;2010VIII;558;
BG412;2010IX;594;
BG412;2010X;577;
BG412;2010XI;583;
BG412;2010XII;640;
BG412;2011I;678;
BG412;2011II;694;
BG412;2011III;739;
BG412;2011IV;733;
BG412;2011V;752;
BG412;2011VI;723;
BG412;2011VII;712;
BG412;2011VIII;701;
BG412;2011IX;774;
BG412;2011X;723;
BG412;2011XI;769;
BG412;2011XII;768;
BG412;2012I;693;
BG412;2012II;715;
BG412;2012III;770;
BG412;2012IV;746;
BG412;2012V;753;
BG412;2012VI;751;
BG412;2012VII;719;
BG412;2012VIII;727;
BG412;2012IX;802;
BG412;2012X;746;
BG412;2012XI;811;
BG412;2012XII;800;
BG412;2013I;751;
BG412;2013II;733;
BG412;2013III;774;
BG412;2013IV;744;
BG412;2013V;789;
BG412;2013VI;785;
BG412;2013VII;758;
BG412;2013VIII;750;
BG412;2013IX;772;
BG412;2013X;762;
BG412;2013XI;769;
BG412;2013XII;817;
BG412;2014I;848;
BG412;2014II;805;
BG412;2014III;811;
BG412;2014IV;853;
BG412;2014V;829;
BG412;2014VI;810;
BG412;2014VII;850;
BG412;2014VIII;803;
BG412;2014IX;819;
BG412;2014X;861;
BG412;2014XI;833;
BG412;2014XII;877;
BG412;2015I;853;
BG412;2015II;834;
BG412;2015III;846;
BG412;2015IV;899;
BG412;2015V;868;
BG412;2015VI;850;
BG412;2015VII;883;
BG412;2015VIII;842;
BG412;2015IX;855;
BG412;2015X;906;
BG412;2015XI;900;
BG412;2015XII;932;
BG412;2016I;862;
BG412;2016II;877;
BG412;2016III;879;
BG412;2016IV;925;
BG412;2016V;941;
BG412;2016VI;891;
BG412;2016VII;905;
BG412;2016VIII;876;
BG412;2016IX;916;
BG412;2016X;936;
BG412;2016XI;913;
BG412;2016XII;953;
BG412;2017I;966;
BG412;2017II;986;
BG412;2017III;994;
BG412;2017IV;1058;
BG412;2017V;1013;
BG412;2017VI;996;
BG412;2017VII;1007;
BG412;2017VIII;976;
BG412;2017IX;1061;
BG412;2017X;1063;
BG412;2017XI;1046;
BG412;2017XII;1110;
BG412;2018I;1101;
BG412;2018II;1037;
BG412;2018III;1084;
BG412;2018IV;1157;
BG412;2018V;1121;
BG412;2018VI;1077;
BG412;2018VII;1116;
BG412;2018VIII;1057;
BG412;2018IX;1153;
BG412;2018X;1161;
BG412;2018XI;1100;
BG412;2018XII;1172;
BG412;2019I;1156;
BG412;2019II;1115;
BG412;2019III;1145;
BG412;2019IV;1227;
BG412;2019V;1194;
BG412;2019VI;1170;
BG412;2019VII;1173;
BG412;2019VIII;1119;
BG412;2019IX;1187;
BG412;2019X;1181;
BG412;2019XI;1190;
BG412;2019XII;1226;
BG412;2020I;1298;
BG412;2020II;1241;
BG412;2020III;1209;
BG412;2020IV;1265;
BG412;2020V;1248;
BG412;2020VI;1228;
BG412;2020VII;1309;
BG412;2020VIII;1269;
BG412;2020IX;1314;
BG411;2008I;695;
BG411;2008II;663;
BG411;2008III;709;
BG411;2008IV;783;
BG411;2008V;706;
BG411;2008VI;726;
BG411;2008VII;731;
BG411;2008VIII;711;
BG411;2008IX;736;
BG411;2008X;745;
BG411;2008XI;768;
BG411;2008XII;818;
BG411;2009I;770;
BG411;2009II;753;
BG411;2009III;801;
BG411;2009IV;838;
BG411;2009V;795;
BG411;2009VI;806;
BG411;2009VII;800;
BG411;2009VIII;788;
BG411;2009IX;796;
BG411;2009X;807;
BG411;2009XI;820;
BG411;2009XII;867;
BG411;2010I;824;
BG411;2010II;821;
BG411;2010III;858;
BG411;2010IV;869;
BG411;2010V;845;
BG411;2010VI;849;
BG411;2010VII;848;
BG411;2010VIII;839;
BG411;2010IX;851;
BG411;2010X;863;
BG411;2010XI;893;
BG411;2010XII;937;
BG411;2011I;902;
BG411;2011II;905;
BG411;2011III;928;
BG411;2011IV;990;
BG411;2011V;946;
BG411;2011VI;946;
BG411;2011VII;961;
BG411;2011VIII;936;
BG411;2011IX;947;
BG411;2011X;958;
BG411;2011XI;991;
BG411;2011XII;1050;
BG411;2012I;957;
BG411;2012II;958;
BG411;2012III;993;
BG411;2012IV;1009;
BG411;2012V;983;
BG411;2012VI;990;
BG411;2012VII;986;
BG411;2012VIII;974;
BG411;2012IX;985;
BG411;2012X;1020;
BG411;2012XI;1023;
BG411;2012XII;1069;
BG411;2013I;1021;
BG411;2013II;1002;
BG411;2013III;1047;
BG411;2013IV;1079;
BG411;2013V;1043;
BG411;2013VI;1041;
BG411;2013VII;1079;
BG411;2013VIII;1030;
BG411;2013IX;1051;
BG411;2013X;1084;
BG411;2013XI;1078;
BG411;2013XII;1118;
BG411;2014I;1071;
BG411;2014II;1033;
BG411;2014III;1092;
BG411;2014IV;1122;
BG411;2014V;1092;
BG411;2014VI;1083;
BG411;2014VII;1109;
BG411;2014VIII;1063;
BG411;2014IX;1088;
BG411;2014X;1119;
BG411;2014XI;1105;
BG411;2014XII;1150;
BG411;2015I;1184;
BG411;2015II;1146;
BG411;2015III;1219;
BG411;2015IV;1252;
BG411;2015V;1187;
BG411;2015VI;1205;
BG411;2015VII;1220;
BG411;2015VIII;1176;
BG411;2015IX;1209;
BG411;2015X;1236;
BG411;2015XI;1237;
BG411;2015XII;1281;
BG411;2016I;1229;
BG411;2016II;1196;
BG411;2016III;1264;
BG411;2016IV;1300;
BG411;2016V;1246;
BG411;2016VI;1253;
BG411;2016VII;1272;
BG411;2016VIII;1233;
BG411;2016IX;1265;
BG411;2016X;1304;
BG411;2016XI;1293;
BG411;2016XII;1355;
BG411;2017I;1374;
BG411;2017II;1335;
BG411;2017III;1417;
BG411;2017IV;1458;
BG411;2017V;1395;
BG411;2017VI;1401;
BG411;2017VII;1433;
BG411;2017VIII;1366;
BG411;2017IX;1436;
BG411;2017X;1468;
BG411;2017XI;1452;
BG411;2017XII;1528;
BG411;2018I;1460;
BG411;2018II;1404;
BG411;2018III;1505;
BG411;2018IV;1567;
BG411;2018V;1478;
BG411;2018VI;1509;
BG411;2018VII;1527;
BG411;2018VIII;1472;
BG411;2018IX;1513;
BG411;2018X;1550;
BG411;2018XI;1551;
BG411;2018XII;1646;
BG411;2019I;1643;
BG411;2019II;1602;
BG411;2019III;1724;
BG411;2019IV;1771;
BG411;2019V;1685;
BG411;2019VI;1730;
BG411;2019VII;1735;
BG411;2019VIII;1665;
BG411;2019IX;1711;
BG411;2019X;1756;
BG411;2019XI;1745;
BG411;2019XII;1843;
BG411;2020I;1809;
BG411;2020II;1766;
BG411;2020III;1841;
BG411;2020IV;1827;
BG411;2020V;1801;
BG411;2020VI;1838;
BG411;2020VII;1897;
BG411;2020VIII;1799;
BG411;2020IX;1868;
BG425;2008I;378;
BG425;2008II;375;
BG425;2008III;379;
BG425;2008IV;387;
BG425;2008V;389;
BG425;2008VI;395;
BG425;2008VII;398;
BG425;2008VIII;398;
BG425;2008IX;428;
BG425;2008X;417;
BG425;2008XI;416;
BG425;2008XII;419;
BG425;2009I;430;
BG425;2009II;429;
BG425;2009III;444;
BG425;2009IV;441;
BG425;2009V;450;
BG425;2009VI;442;
BG425;2009VII;447;
BG425;2009VIII;443;
BG425;2009IX;482;
BG425;2009X;457;
BG425;2009XI;456;
BG425;2009XII;479;
BG425;2010I;445;
BG425;2010II;440;
BG425;2010III;456;
BG425;2010IV;466;
BG425;2010V;483;
BG425;2010VI;470;
BG425;2010VII;475;
BG425;2010VIII;461;
BG425;2010IX;483;
BG425;2010X;481;
BG425;2010XI;481;
BG425;2010XII;493;
BG425;2011I;454;
BG425;2011II;465;
BG425;2011III;473;
