;;левове;
BG315;2015V;653;
BG315;2015VI;648;
BG315;2015VII;682;
BG315;2015VIII;667;
BG315;2015IX;679;
BG315;2015X;684;
BG315;2015XI;673;
BG315;2015XII;733;
BG315;2016I;715;
BG315;2016II;705;
BG315;2016III;728;
BG315;2016IV;730;
BG315;2016V;735;
BG315;2016VI;741;
BG315;2016VII;762;
BG315;2016VIII;740;
BG315;2016IX;780;
BG315;2016X;765;
BG315;2016XI;759;
BG315;2016XII;795;
BG315;2017I;727;
BG315;2017II;725;
BG315;2017III;770;
BG315;2017IV;770;
BG315;2017V;796;
BG315;2017VI;761;
BG315;2017VII;771;
BG315;2017VIII;754;
BG315;2017IX;791;
BG315;2017X;817;
BG315;2017XI;809;
BG315;2017XII;835;
BG315;2018I;873;
BG315;2018II;849;
BG315;2018III;877;
BG315;2018IV;899;
BG315;2018V;916;
BG315;2018VI;890;
BG315;2018VII;917;
BG315;2018VIII;894;
BG315;2018IX;908;
BG315;2018X;934;
BG315;2018XI;891;
BG315;2018XII;933;
BG315;2019I;922;
BG315;2019II;932;
BG315;2019III;966;
BG315;2019IV;971;
BG315;2019V;966;
BG315;2019VI;981;
BG315;2019VII;1000;
BG315;2019VIII;977;
BG315;2019IX;998;
BG315;2019X;1028;
BG315;2019XI;996;
BG315;2019XII;1089;
BG315;2020I;1017;
BG315;2020II;1011;
BG315;2020III;1001;
BG315;2020IV;1048;
BG315;2020V;1027;
BG315;2020VI;1049;
BG315;2020VII;1116;
BG315;2020VIII;1029;
BG315;2020IX;1115;
BG312;2008I;385;
BG312;2008II;393;
BG312;2008III;404;
BG312;2008IV;409;
BG312;2008V;413;
BG312;2008VI;410;
BG312;2008VII;417;
BG312;2008VIII;424;
BG312;2008IX;441;
BG312;2008X;443;
BG312;2008XI;456;
BG312;2008XII;471;
BG312;2009I;445;
BG312;2009II;454;
BG312;2009III;464;
BG312;2009IV;464;
BG312;2009V;473;
BG312;2009VI;468;
BG312;2009VII;466;
BG312;2009VIII;472;
BG312;2009IX;491;
BG312;2009X;486;
BG312;2009XI;498;
BG312;2009XII;499;
BG312;2010I;457;
BG312;2010II;469;
BG312;2010III;483;
BG312;2010IV;496;
BG312;2010V;506;
BG312;2010VI;499;
BG312;2010VII;503;
BG312;2010VIII;497;
BG312;2010IX;521;
BG312;2010X;510;
BG312;2010XI;521;
BG312;2010XII;530;
BG312;2011I;500;
BG312;2011II;496;
BG312;2011III;520;
BG312;2011IV;524;
BG312;2011V;525;
BG312;2011VI;519;
BG312;2011VII;518;
BG312;2011VIII;509;
BG312;2011IX;524;
BG312;2011X;527;
BG312;2011XI;535;
BG312;2011XII;556;
BG312;2012I;529;
BG312;2012II;527;
BG312;2012III;555;
BG312;2012IV;563;
BG312;2012V;573;
BG312;2012VI;575;
BG312;2012VII;623;
BG312;2012VIII;569;
BG312;2012IX;608;
BG312;2012X;592;
BG312;2012XI;583;
BG312;2012XII;608;
BG312;2013I;563;
BG312;2013II;561;
BG312;2013III;570;
BG312;2013IV;595;
BG312;2013V;575;
BG312;2013VI;562;
BG312;2013VII;584;
BG312;2013VIII;574;
BG312;2013IX;595;
BG312;2013X;599;
BG312;2013XI;604;
BG312;2013XII;611;
BG312;2014I;619;
BG312;2014II;612;
BG312;2014III;635;
BG312;2014IV;652;
BG312;2014V;641;
BG312;2014VI;628;
BG312;2014VII;649;
BG312;2014VIII;626;
BG312;2014IX;637;
BG312;2014X;666;
BG312;2014XI;659;
BG312;2014XII;682;
BG312;2015I;620;
BG312;2015II;614;
BG312;2015III;634;
BG312;2015IV;651;
BG312;2015V;650;
BG312;2015VI;642;
BG312;2015VII;660;
BG312;2015VIII;647;
BG312;2015IX;659;
BG312;2015X;675;
BG312;2015XI;686;
BG312;2015XII;725;
BG312;2016I;702;
BG312;2016II;702;
BG312;2016III;716;
BG312;2016IV;724;
BG312;2016V;719;
BG312;2016VI;714;
BG312;2016VII;759;
BG312;2016VIII;718;
BG312;2016IX;745;
BG312;2016X;756;
BG312;2016XI;766;
BG312;2016XII;772;
BG312;2017I;738;
BG312;2017II;728;
BG312;2017III;763;
BG312;2017IV;781;
BG312;2017V;767;
BG312;2017VI;763;
BG312;2017VII;772;
BG312;2017VIII;759;
BG312;2017IX;778;
BG312;2017X;788;
BG312;2017XI;790;
BG312;2017XII;788;
BG312;2018I;779;
BG312;2018II;775;
BG312;2018III;814;
BG312;2018IV;841;
BG312;2018V;827;
BG312;2018VI;812;
BG312;2018VII;817;
BG312;2018VIII;819;
BG312;2018IX;848;
BG312;2018X;890;
BG312;2018XI;875;
BG312;2018XII;928;
BG312;2019I;870;
BG312;2019II;890;
BG312;2019III;926;
BG312;2019IV;926;
BG312;2019V;918;
BG312;2019VI;903;
BG312;2019VII;911;
BG312;2019VIII;910;
BG312;2019IX;937;
BG312;2019X;972;
BG312;2019XI;957;
BG312;2019XII;986;
BG312;2020I;981;
BG312;2020II;990;
BG312;2020III;972;
BG312;2020IV;1011;
BG312;2020V;1017;
BG312;2020VI;1039;
BG312;2020VII;1051;
BG312;2020VIII;1017;
BG312;2020IX;1072;
BG314;2008I;398;
BG314;2008II;403;
BG314;2008III;421;
BG314;2008IV;422;
BG314;2008V;423;
BG314;2008VI;429;
BG314;2008VII;435;
BG314;2008VIII;443;
BG314;2008IX;466;
BG314;2008X;472;
BG314;2008XI;452;
BG314;2008XII;466;
BG314;2009I;458;
BG314;2009II;456;
BG314;2009III;500;
BG314;2009IV;476;
BG314;2009V;478;
BG314;2009VI;476;
BG314;2009VII;481;
BG314;2009VIII;481;
BG314;2009IX;502;
BG314;2009X;489;
BG314;2009XI;488;
BG314;2009XII;497;
BG314;2010I;465;
BG314;2010II;468;
BG314;2010III;487;
BG314;2010IV;495;
BG314;2010V;492;
BG314;2010VI;491;
BG314;2010VII;490;
BG314;2010VIII;484;
BG314;2010IX;503;
BG314;2010X;507;
BG314;2010XI;514;
BG314;2010XII;525;
BG314;2011I;495;
BG314;2011II;497;
BG314;2011III;513;
BG314;2011IV;521;
BG314;2011V;531;
BG314;2011VI;521;
BG314;2011VII;524;
BG314;2011VIII;519;
BG314;2011IX;536;
BG314;2011X;536;
BG314;2011XI;534;
BG314;2011XII;553;
BG314;2012I;520;
BG314;2012II;512;
BG314;2012III;535;
BG314;2012IV;542;
BG314;2012V;559;
BG314;2012VI;554;
BG314;2012VII;554;
BG314;2012VIII;556;
BG314;2012IX;568;
BG314;2012X;567;
BG314;2012XI;560;
BG314;2012XII;578;
BG314;2013I;561;
BG314;2013II;558;
BG314;2013III;573;
BG314;2013IV;584;
BG314;2013V;588;
BG314;2013VI;577;
BG314;2013VII;584;
BG314;2013VIII;577;
BG314;2013IX;599;
BG314;2013X;600;
BG314;2013XI;591;
BG314;2013XII;615;
BG314;2014I;596;
BG314;2014II;599;
BG314;2014III;627;
BG314;2014IV;636;
BG314;2014V;632;
BG314;2014VI;626;
BG314;2014VII;634;
BG314;2014VIII;633;
BG314;2014IX;643;
BG314;2014X;640;
BG314;2014XI;628;
BG314;2014XII;649;
BG314;2015I;635;
BG314;2015II;634;
BG314;2015III;669;
BG314;2015IV;683;
BG314;2015V;679;
BG314;2015VI;677;
BG314;2015VII;676;
BG314;2015VIII;668;
BG314;2015IX;687;
BG314;2015X;688;
BG314;2015XI;694;
BG314;2015XII;711;
BG314;2016I;704;
BG314;2016II;704;
BG314;2016III;733;
BG314;2016IV;737;
BG314;2016V;744;
BG314;2016VI;743;
BG314;2016VII;745;
BG314;2016VIII;740;
BG314;2016IX;764;
BG314;2016X;758;
BG314;2016XI;756;
BG314;2016XII;765;
BG314;2017I;762;
BG314;2017II;756;
BG314;2017III;792;
BG314;2017IV;796;
BG314;2017V;802;
BG314;2017VI;815;
BG314;2017VII;815;
BG314;2017VIII;805;
BG314;2017IX;834;
BG314;2017X;838;
BG314;2017XI;832;
BG314;2017XII;854;
BG314;2018I;836;
BG314;2018II;804;
BG314;2018III;829;
BG314;2018IV;861;
BG314;2018V;865;
BG314;2018VI;859;
BG314;2018VII;858;
BG314;2018VIII;859;
BG314;2018IX;872;
BG314;2018X;888;
BG314;2018XI;883;
BG314;2018XII;885;
BG314;2019I;881;
BG314;2019II;893;
BG314;2019III;924;
BG314;2019IV;937;
BG314;2019V;933;
BG314;2019VI;925;
BG314;2019VII;951;
BG314;2019VIII;930;
BG314;2019IX;956;
BG314;2019X;958;
BG314;2019XI;948;
BG314;2019XII;984;
BG314;2020I;979;
BG314;2020II;989;
BG314;2020III;961;
BG314;2020IV;969;
BG314;2020V;981;
BG314;2020VI;1002;
BG314;2020VII;1030;
BG314;2020VIII;1013;
BG314;2020IX;1072;
BG321;2008I;409;
BG321;2008II;410;
BG321;2008III;428;
BG321;2008IV;433;
BG321;2008V;443;
BG321;2008VI;442;
BG321;2008VII;444;
BG321;2008VIII;443;
BG321;2008IX;458;
BG321;2008X;470;
BG321;2008XI;461;
BG321;2008XII;473;
BG321;2009I;470;
BG321;2009II;475;
BG321;2009III;483;
BG321;2009IV;485;
