;;хиляди левове;хиляди левове;хиляди левове;хиляди левове;левове;километър;километър;брой;брой;процент;процент;процент;процент;процент;процент;процент;процент;
;;Разходи за придобиване на ДМА;Оборот;Произведена продукция;Добавена стойност по факторни разходи;Средна годишна работна заплата на наетите лица по трудово и служебно правоотношение;Дължина на aвтомагистралите;Дължина на първокласните пътища;Население към 31.12. - общо;Среден списъчен брой на наети лица по трудово и служебно правоотношение;Коефициент на заетост - 15 - 64 навършени години;Относителен дял на населениeто на възраст между 25 и 64 навършени години с висше образование;Относителен дял на населението на възраст между 25 и 64 навършени години със средно образование;Относителен дял на населението на възраст между 25 и 64 навършени години с основно и по-ниско образование;Относителен дял на предприятията с до 9 заети лица в общия брой предприятия за областта;Относителен дял на предприятията с 10-49 заети лица в общия брой предприятия за областта;Относителен дял на предприятията с 50-249 заети лица в общия брой предприятия за областта;Относителен дял на предприятията с повече от 250 заети лица в общия брой предприятия за областта;
MON;2016;157545;2138472;1491020;470288;8624;-;64;134669;28121;53.3;16.4;65.1;18.5;92.0;6.6;1.3;0.2;
MON;2017;164614;2302992;1540656;471398;9297;-;64;132214;28339;57.3;14.4;64.6;21.0;91.8;6.7;1.3;0.2;
MON;2018;150011;2545601;1691511;497097;10129;-;64;129637;28487;52.2;12.6;61.7;25.6;92.2;6.4;1.2;0.2;
PVN;2005;227844;2522416;1326949;504613;3368;-;96;305025;74187;52.3;17.2;57.7;25.1;90.0;8.0;1.7;0.3;
PVN;2006;255893;2854628;1445613;462656;3617;-;96;301634;73986;55.1;18.0;57.9;24.1;90.2;7.9;1.6;0.3;
PVN;2007;339033;3047162;1721441;544467;4181;-;96;297928;73066;56.5;17.0;61.2;21.8;90.5;7.6;1.7;0.2;
PVN;2008;421325;3676979;2132579;659986;5268;-;96;294277;71923;59.8;17.6;60.0;22.4;90.9;7.4;1.5;0.2;
PVN;2009;336368;3304318;1959163;593588;5890;-;96;290589;67393;56.7;15.5;62.1;22.5;91.1;7.4;1.4;0.2;
PVN;2010;304732;2879997;1840032;650239;6093;-;96;286496;61022;52.4;17.5;61.2;21.2;91.5;7.0;1.3;0.2;
PVN;2011;289685;3261499;2114880;760952;6308;-;96;266865;62256;54.1;18.5;59.9;21.6;91.4;7.2;1.3;0.2;
PVN;2012;485622;3469555;2099934;676423;6646;-;96;262969;61042;55.5;21.7;57.9;20.4;91.6;7.0;1.2;0.2;
PVN;2013;422544;3736204;2288413;818876;7046;-;96;259363;61317;58.1;22.9;60.6;16.6;91.9;6.7;1.2;0.2;
PVN;2014;379410;3735208;2426267;848731;7400;-;97;255749;59797;58.0;23.6;57.6;18.8;91.8;6.9;1.1;0.2;
PVN;2015;498247;4189760;2673479;909267;7892;-;97;251986;59600;61.2;24.6;57.4;18.1;91.9;6.8;1.1;0.2;
PVN;2016;309507;4247420;2705594;935404;8630;-;97;248138;58758;59.5;24.1;56.6;19.3;92.1;6.8;1.0;0.1;
PVN;2017;341706;4317510;2844002;997933;9401;-;97;244209;58430;61.7;24.5;56.1;19.4;91.8;7.1;1.0;0.1;
PVN;2018;413893;4744262;3126997;1093178;10461;-;97;240380;58757;64.4;24.1;57.0;18.8;92.0;6.8;1.1;0.1;
VTR;2005;293510;2514581;1545002;496298;3276;-;153;283599;76443;48.7;23.0;52.8;24.2;89.2;8.7;1.8;0.3;
VTR;2006;351469;2891701;1776018;497152;3565;-;153;280883;78031;52.1;19.1;57.4;23.5;89.2;8.7;1.8;0.3;
VTR;2007;476060;3139058;2067696;577416;4157;-;153;278764;78187;57.5;24.0;58.6;17.4;89.2;8.6;1.9;0.3;
VTR;2008;463695;3734638;2523642;716180;5144;-;153;277520;78723;58.3;24.6;57.0;18.4;90.7;7.4;1.6;0.3;
VTR;2009;283855;3311992;2147034;659364;5765;-;153;275395;74746;55.6;24.2;58.7;17.1;90.8;7.3;1.6;0.3;
VTR;2010;267898;3652061;2351308;744216;6119;-;153;271400;70493;51.4;23.0;59.2;17.7;91.1;7.1;1.5;0.3;
VTR;2011;390400;3973940;2520466;794340;6488;-;153;256279;69215;54.3;21.5;61.4;17.1;91.1;7.2;1.5;0.2;
VTR;2012;377732;4184791;2667361;807225;6742;-;153;253580;67706;55.0;23.5;60.3;16.3;91.3;7.0;1.5;0.2;
VTR;2013;397597;4421800;2762602;857541;7262;-;153;251126;67813;54.8;26.6;58.9;14.6;91.5;6.8;1.5;0.2;
VTR;2014;384392;4122300;2743497;926801;7662;-;153;247782;67472;60.0;27.3;56.1;16.6;91.6;6.7;1.5;0.2;
VTR;2015;500926;4553964;3035379;1011447;8213;-;153;245006;67141;65.0;26.9;57.5;15.6;91.6;6.7;1.5;0.2;
VTR;2016;360522;4617723;2982409;997233;8934;-;153;242259;67110;65.0;27.3;58.5;14.3;91.7;6.6;1.5;0.2;
