"TIME","GEO","UNIT","Value"
"2009","BG325","Million units of national currency","633.72"
"2009","BG331","Million units of national currency","4 839.81"
"2009","BG332","Million units of national currency","1 180.12"
"2009","BG333","Million units of national currency","1 130.46"
"2009","BG334","Million units of national currency","722.14"
"2009","BG341","Million units of national currency","3 721"
"2009","BG342","Million units of national currency","1 037.74"
"2009","BG343","Million units of national currency","789.89"
"2009","BG344","Million units of national currency","3 439.14"
"2009","BG411","Million units of national currency","28 082.6"
"2009","BG412","Million units of national currency","2 582.18"
"2009","BG413","Million units of national currency","2 141.99"
"2009","BG414","Million units of national currency","803.42"
"2009","BG415","Million units of national currency","801.78"
"2009","BG421","Million units of national currency","5 510.44"
"2009","BG422","Million units of national currency","1 444.46"
"2009","BG423","Million units of national currency","1 693.61"
"2009","BG424","Million units of national currency","856.14"
"2009","BG425","Million units of national currency","861.73"
"2010","BG311","Million units of national currency","546.79"
"2010","BG312","Million units of national currency","847.97"
"2010","BG313","Million units of national currency","1 556.69"
"2010","BG314","Million units of national currency","1 545.98"
"2010","BG315","Million units of national currency","926.24"
"2010","BG321","Million units of national currency","1 791.02"
"2010","BG322","Million units of national currency","989.33"
"2010","BG323","Million units of national currency","1 678.31"
"2010","BG324","Million units of national currency","784.05"
"2010","BG325","Million units of national currency","604.88"
"2010","BG331","Million units of national currency","4 658.76"
"2010","BG332","Million units of national currency","1 332.23"
"2010","BG333","Million units of national currency","1 128.12"
"2010","BG334","Million units of national currency","741.11"
"2010","BG341","Million units of national currency","3 751.12"
"2010","BG342","Million units of national currency","1 061.55"
"2010","BG343","Million units of national currency","842.49"
"2010","BG344","Million units of national currency","3 367.48"
"2010","BG411","Million units of national currency","29 804.5"
"2010","BG412","Million units of national currency","2 221.92"
"2010","BG413","Million units of national currency","2 034.97"
"2010","BG414","Million units of national currency","858.84"
"2010","BG415","Million units of national currency","873.48"
"2010","BG421","Million units of national currency","5 530.33"
"2010","BG422","Million units of national currency","1 346.62"
"2010","BG423","Million units of national currency","1 918.99"
"2010","BG424","Million units of national currency","863.47"
"2010","BG425","Million units of national currency","826.88"
"2011","BG311","Million units of national currency","563.29"
"2011","BG312","Million units of national currency","906.91"
"2011","BG313","Million units of national currency","1 662.75"
"2011","BG314","Million units of national currency","1 704.29"
"2011","BG315","Million units of national currency","1 012.05"
"2011","BG321","Million units of national currency","1 850.3"
"2011","BG322","Million units of national currency","1 079.99"
"2011","BG323","Million units of national currency","1 910.14"
"2011","BG324","Million units of national currency","844.87"
"2011","BG325","Million units of national currency","678.61"
"2011","BG331","Million units of national currency","5 246.88"
"2011","BG332","Million units of national currency","1 376.14"
"2011","BG333","Million units of national currency","1 201.37"
"2011","BG334","Million units of national currency","809.05"
"2011","BG341","Million units of national currency","4 048.03"
"2011","BG342","Million units of national currency","1 153.77"
"2011","BG343","Million units of national currency","882.4"
"2011","BG344","Million units of national currency","3 526.92"
"2011","BG411","Million units of national currency","31 988.5"
"2011","BG412","Million units of national currency","2 918.27"
"2011","BG413","Million units of national currency","2 301.59"
"2011","BG414","Million units of national currency","875.64"
"2011","BG415","Million units of national currency","855.39"
"2011","BG421","Million units of national currency","6 064.05"
"2011","BG422","Million units of national currency","1 513.71"
"2011","BG423","Million units of national currency","1 982.96"
"2011","BG424","Million units of national currency","897.17"
"2011","BG425","Million units of national currency","858.68"
"2012","BG311","Million units of national currency","555.18"
"2012","BG312","Million units of national currency","917.93"
"2012","BG313","Million units of national currency","1 657.15"
"2012","BG314","Million units of national currency","1 675.05"
"2012","BG315","Million units of national currency","1 022.93"
"2012","BG321","Million units of national currency","1 904.69"
"2012","BG322","Million units of national currency","1 115.51"
"2012","BG323","Million units of national currency","2 000.42"
"2012","BG324","Million units of national currency","941.19"
"2012","BG325","Million units of national currency","644.9"
"2012","BG331","Million units of national currency","5 446.96"
"2012","BG332","Million units of national currency","1 395.07"
"2012","BG333","Million units of national currency","1 265.65"
"2012","BG334","Million units of national currency","842.87"
"2012","BG341","Million units of national currency","4 053.91"
"2012","BG342","Million units of national currency","1 217.87"
"2012","BG343","Million units of national currency","948.15"
"2012","BG344","Million units of national currency","3 845.25"
"2012","BG411","Million units of national currency","32 027.65"
"2012","BG412","Million units of national currency","3 022.11"
"2012","BG413","Million units of national currency","2 392.88"
"2012","BG414","Million units of national currency","789.67"
"2012","BG415","Million units of national currency","847.99"
"2012","BG421","Million units of national currency","6 204.55"
"2012","BG422","Million units of national currency","1 549.2"
"2012","BG423","Million units of national currency","2 082.04"
"2012","BG424","Million units of national currency","915.86"
"2012","BG425","Million units of national currency","956.01"
"2013","BG311","Million units of national currency","567.84"
"2013","BG312","Million units of national currency","972.64"
"2013","BG313","Million units of national currency","1 469.12"
"2013","BG314","Million units of national currency","1 721.28"
"2013","BG315","Million units of national currency","1 017.96"
"2013","BG321","Million units of national currency","1 954.56"
"2013","BG322","Million units of national currency","1 068.84"
"2013","BG323","Million units of national currency","2 045.71"
"2013","BG324","Million units of national currency","938.59"
"2013","BG325","Million units of national currency","653.54"
"2013","BG331","Million units of national currency","5 338.98"
"2013","BG332","Million units of national currency","1 421.73"
"2013","BG333","Million units of national currency","1 290.99"
"2013","BG334","Million units of national currency","857.9"
"2013","BG341","Million units of national currency","4 101.98"
"2013","BG342","Million units of national currency","1 098.76"
"2013","BG343","Million units of national currency","905.81"
"2013","BG344","Million units of national currency","4 033.23"
"2013","BG411","Million units of national currency","32 216.86"
"2013","BG412","Million units of national currency","2 694.52"
"2013","BG413","Million units of national currency","2 412.94"
"2013","BG414","Million units of national currency","747.79"
"2013","BG415","Million units of national currency","841.32"
"2013","BG421","Million units of national currency","6 335.32"
"2013","BG422","Million units of national currency","1 476.19"
"2013","BG423","Million units of national currency","1 974.2"
"2013","BG424","Million units of national currency","873.8"
"2013","BG425","Million units of national currency","922.42"
"2014","BG311","Million units of national currency","576.23"
"2014","BG312","Million units of national currency","937.08"
"2014","BG313","Million units of national currency","1 681.08"
"2014","BG314","Million units of national currency","1 714.27"
"2014","BG315","Million units of national currency","1 053.31"
"2014","BG321","Million units of national currency","1 939.99"
"2014","BG322","Million units of national currency","1 145.44"
"2014","BG323","Million units of national currency","2 203.4"
"2014","BG324","Million units of national currency","963.17"
"2014","BG325","Million units of national currency","674.96"
"2014","BG331","Million units of national currency","5 754.6"
"2014","BG332","Million units of national currency","1 431.52"
"2014","BG333","Million units of national currency","1 304.91"
"2014","BG334","Million units of national currency","823.07"
"2014","BG341","Million units of national currency","3 791.61"
"2014","BG342","Million units of national currency","1 148.55"
"2014","BG343","Million units of national currency","978.48"
"2014","BG344","Million units of national currency","4 708.16"
"2014","BG411","Million units of national currency","32 799.78"
"2014","BG412","Million units of national currency","2 793.72"
"2014","BG413","Million units of national currency","2 388.65"
"2014","BG414","Million units of national currency","762.64"
"2014","BG415","Million units of national currency","891.45"
"2014","BG421","Million units of national currency","6 231.12"
"2014","BG422","Million units of national currency","1 524.33"
"2014","BG423","Million units of national currency","1 849.27"
"2014","BG424","Million units of national currency","901.91"
"2014","BG425","Million units of national currency","912.23"
"2015","BG311","Million units of national currency","579.48"
"2015","BG312","Million units of national currency","1 010.58"
"2015","BG313","Million units of national currency","1 595.76"
"2015","BG314","Million units of national currency","1 773.95"
"2015","BG315","Million units of national currency","1 049.39"
"2015","BG321","Million units of national currency","2 036.94"
"2015","BG322","Million units of national currency","1 204.43"
"2015","BG323","Million units of national currency","2 251.29"
"2015","BG324","Million units of national currency","914.76"
"2015","BG325","Million units of national currency","679.71"
"2015","BG331","Million units of national currency","6 025.21"
"2015","BG332","Million units of national currency","1 446.96"
"2015","BG333","Million units of national currency","1 341.55"
"2015","BG334","Million units of national currency","894.93"
"2015","BG341","Million units of national currency","4 352.43"
"2015","BG342","Million units of national currency","1 126.7"
"2015","BG343","Million units of national currency","1 017.6"
"2015","BG344","Million units of national currency","4 391.47"
"2015","BG411","Million units of national currency","35 699.53"
"2015","BG412","Million units of national currency","3 149.37"
"2015","BG413","Million units of national currency","2 472.48"
"2015","BG414","Million units of national currency","766.17"
"2015","BG415","Million units of national currency","959.23"
"2015","BG421","Million units of national currency","6 873.01"
"2015","BG422","Million units of national currency","1 654.08"
"2015","BG423","Million units of national currency","2 126.1"
"2015","BG424","Million units of national currency","988.4"
"2015","BG425","Million units of national currency","980.83"
"2016","BG311","Million units of national currency","581.39"
"2016","BG312","Million units of national currency","1 071.33"
"2016","BG313","Million units of national currency","1 658.34"
"2016","BG314","Million units of national currency","1 819.4"
"2016","BG315","Million units of national currency","1 146.56"
"2016","BG321","Million units of national currency","2 097.99"
"2016","BG322","Million units of national currency","1 270.15"
